dimension_1,value_1,dimension_2,value_2,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge,roi_standard_error,roi_ci_95_low,roi_ci_95_high,roi_x_sqrt_n,conservative_score,ranking_note
side,over,projection_minus_line_bucket,0.25-0.5,61,31,30,0,0.5081967213114754,1.970000000000001,0.03229508196721313,3.139344262295082,3.501967213114755,0.3626229508196721,0.5268467213114753,5.963288524590167,2.013606557377049,0.3626229508196721,0.3626229508196721,0.3626229508196721,0.13134016932694986,-0.22513164991360857,0.28972181384803486,0.2522326534678052,-0.22513164991360857,exploratory
probability_bucket,62.5-65%,verified_edge_bucket,0.5-1,48,29,19,0,0.6041666666666666,0.17999999999999972,0.0037499999999999942,4.0625,4.236249999999999,0.17375000000000007,0.6372020833333334,5.885414583333334,1.661875,0.17375000000000007,0.17375000000000007,0.7408333333333333,0.1185785436351716,-0.22866394552493632,0.23616394552493633,0.025980762113533118,-0.22866394552493632,exploratory
side,under,line_bucket,4.5,57,32,25,0,0.5614035087719298,0.3100000000000014,0.005438596491228094,4.5,4.332631578947368,-0.16736842105263156,0.5710850877192981,4.936065789473684,1.8549122807017544,-0.16736842105263156,-0.16736842105263156,0.2940350877192982,0.11971118915116027,-0.22919533424504604,0.24007252722750225,0.04106050306901654,-0.22919533424504604,exploratory
side,under,projection_minus_line_bucket,-1--0.5,58,35,23,0,0.603448275862069,-1.7199999999999995,-0.029655172413793094,4.293103448275862,3.6646551724137937,-0.6284482758620689,0.6662077586206896,6.4523258620689665,1.6013793103448277,-0.6284482758620689,-0.6284482758620689,0.6284482758620689,0.104511934416146,-0.23449856386943924,0.17518821904185305,-0.22584706451872275,-0.23449856386943924,exploratory
projection_minus_line_bucket,-1--0.5,verified_edge_bucket,0.5-1,58,35,23,0,0.603448275862069,-1.7199999999999995,-0.029655172413793094,4.293103448275862,3.6646551724137937,-0.6284482758620689,0.6662077586206896,6.4523258620689665,1.6013793103448277,-0.6284482758620689,-0.6284482758620689,0.6284482758620689,0.104511934416146,-0.23449856386943924,0.17518821904185305,-0.22584706451872275,-0.23449856386943924,exploratory
side,under,verified_edge_bucket,0-0.5,279,131,148,0,0.46953405017921146,-35.269999999999996,-0.126415770609319,3.42831541218638,3.3986021505376343,-0.029713261648745524,0.5697516129032257,5.534556451612904,1.8734408602150538,-0.029713261648745524,-0.029713261648745524,0.2386021505376344,0.05633948014408428,-0.23684115169172418,-0.015990389526913812,-2.1115596674947836,-0.23684115169172418,exploratory
probability_bucket,50-52.5%,verified_edge_bucket,0-0.5,68,33,35,0,0.4852941176470588,0.6400000000000015,0.009411764705882375,3.3529411764705883,3.615147058823529,0.26220588235294107,0.5114794117647059,5.933961764705885,2.071470588235294,0.26220588235294107,0.26220588235294107,0.26220588235294107,0.12706829379723333,-0.23964209113669496,0.25846562054845973,0.07761140001162674,-0.23964209113669496,exploratory
probability_bucket,52.5-55%,verified_edge_bucket,0-0.5,67,34,33,0,0.5074626865671642,-0.3899999999999997,-0.005820895522388055,3.514925373134328,3.7441791044776123,0.22925373134328353,0.5388761194029852,5.5790462686567155,1.95955223880597,0.22925373134328353,0.22925373134328353,0.24089552238805967,0.12064299863094907,-0.2422811728390482,0.23063938179427212,-0.047646083298959,-0.2422811728390482,exploratory
side,under,ev_bucket,5-10,207,101,106,0,0.48792270531400966,-25.499999999999996,-0.12318840579710143,3.398550724637681,3.2419806763285024,-0.15657004830917876,0.5951367149758454,7.296693719806765,1.83256038647343,-0.15657004830917876,-0.15657004830917876,0.34555555555555556,0.06353439009346004,-0.24771581038028312,0.0013389987860802505,-1.7723725194851352,-0.24771581038028312,exploratory
projection_minus_line_bucket,-0.5--0.25,ev_bucket,5-10,51,30,21,0,0.5882352941176471,-1.3899999999999988,-0.02725490196078429,3.323529411764706,2.954705882352941,-0.36882352941176477,0.6466529411764707,7.407864705882355,1.6670588235294115,-0.36882352941176477,-0.36882352941176477,0.36882352941176477,0.11556106218210645,-0.25375458383771293,0.19924477991614434,-0.1946389316798932,-0.25375458383771293,exploratory
