team,position,count,probability,moneyline
MIA,LB,166,0.0332,+2912
MIA,RB,77,0.0154,+6394
MIA,QB,39,0.0078,+12721
MIN,S,3224,0.6448,-182
MIN,RB,390,0.078,+1182
MIN,CB,379,0.0758,+1219
MIN,OT,270,0.054,+1752
MIN,DT,227,0.0454,+2103
MIN,EDGE,182,0.0364,+2647
MIN,WR,146,0.0292,+3325
MIN,TE,102,0.0204,+4802
MIN,IOL,51,0.0102,+9704
MIN,LB,28,0.0056,+17757
MIN,QB,1,0.0002,+499900
NE,EDGE,2111,0.4222,+137
NE,DT,910,0.182,+449
NE,OT,877,0.1754,+470
NE,WR,416,0.0832,+1102
NE,LB,217,0.0434,+2204
NE,CB,178,0.0356,+2709
NE,TE,140,0.028,+3471
NE,QB,51,0.0102,+9704
NE,IOL,50,0.01,+9900
NE,S,32,0.0064,+15525
NE,RB,18,0.0036,+27678
NO,CB,1899,0.3798,+163
NO,WR,1331,0.2662,+276
NO,EDGE,1084,0.2168,+361
NO,LB,242,0.0484,+1966
NO,OT,207,0.0414,+2315
NO,S,110,0.022,+4445
NO,RB,93,0.0186,+5276
NO,IOL,29,0.0058,+17141
NO,TE,5,0.001,+99900
NYG,LB,1241,0.2482,+303
NYG,WR,1236,0.2472,+305
NYG,OT,993,0.1986,+404
NYG,S,686,0.1372,+629
NYG,RB,654,0.1308,+665
NYG,EDGE,140,0.028,+3471
NYG,CB,50,0.01,+9900
NYJ,EDGE,3348,0.6696,-203
NYJ,LB,2662,0.5324,-114
NYJ,WR,1930,0.386,+159
NYJ,IOL,470,0.094,+964
NYJ,OT,460,0.092,+987
NYJ,CB,454,0.0908,+1001
NYJ,S,222,0.0444,+2152
NYJ,RB,187,0.0374,+2574
NYJ,QB,137,0.0274,+3550
NYJ,TE,128,0.0256,+3806
NYJ,DT,2,0.0004,+249900
PHI,OT,2079,0.4158,+141
PHI,WR,1390,0.278,+260
PHI,EDGE,912,0.1824,+448
PHI,S,363,0.0726,+1277
PHI,DT,69,0.0138,+7146
PHI,TE,64,0.0128,+7712
PHI,CB,60,0.012,+8233
PHI,LB,25,0.005,+19900
PHI,RB,19,0.0038,+26216
PHI,IOL,15,0.003,+33233
PHI,QB,4,0.0008,+124900
PIT,OT,2876,0.5752,-135
PIT,WR,971,0.1942,+415
PIT,CB,481,0.0962,+940
PIT,RB,191,0.0382,+2518
PIT,EDGE,151,0.0302,+3211
PIT,QB,103,0.0206,+4754
PIT,IOL,84,0.0168,+5852
PIT,S,76,0.0152,+6479
PIT,DT,43,0.0086,+11528
PIT,LB,13,0.0026,+38362
PIT,TE,11,0.0022,+45355
SEA,CB,2045,0.409,+144
SEA,EDGE,1910,0.382,+162
SEA,IOL,414,0.0828,+1108
SEA,DT,140,0.028,+3471
SEA,OT,133,0.0266,+3659
SEA,LB,130,0.026,+3746
SEA,WR,84,0.0168,+5852
SEA,RB,70,0.014,+7043
SEA,QB,34,0.0068,+14606
SEA,S,26,0.0052,+19131
SEA,TE,14,0.0028,+35614
SF,OT,1608,0.3216,+211
SF,WR,1293,0.2586,+287
SF,EDGE,1084,0.2168,+361
SF,CB,349,0.0698,+1333
SF,IOL,234,0.0468,+2037
SF,S,159,0.0318,+3045
SF,DT,141,0.0282,+3446
SF,LB,63,0.0126,+7837
SF,RB,36,0.0072,+13789
SF,TE,20,0.004,+24900
SF,QB,13,0.0026,+38362
TB,EDGE,2398,0.4796,+109
TB,TE,1057,0.2114,+373
TB,CB,561,0.1122,+791
TB,IOL,375,0.075,+1233
TB,OT,259,0.0518,+1831
TB,WR,128,0.0256,+3806
TB,S,94,0.0188,+5219
TB,RB,84,0.0168,+5852
TB,LB,43,0.0086,+11528
TB,DT,1,0.0002,+499900
TEN,EDGE,1574,0.3148,+218
TEN,RB,1529,0.3058,+227
TEN,LB,961,0.1922,+420
TEN,WR,731,0.1462,+584
TEN,OT,140,0.028,+3471
TEN,S,41,0.0082,+12095
TEN,CB,24,0.0048,+20733
WAS,EDGE,1683,0.3366,+197
WAS,WR,1206,0.2412,+315
WAS,LB,793,0.1586,+531
WAS,S,529,0.1058,+845
WAS,RB,389,0.0778,+1185
WAS,OT,228,0.0456,+2093
WAS,CB,162,0.0324,+2986
WAS,TE,6,0.0012,+83233
WAS,IOL,4,0.0008,+124900
