player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Josh Allen,46601,QB,BUF,1,4,0,1,48.4,15,0,17,0,0,0,14,0.0,1,2,4,1,0,30.3,61.4,79.0,59.9,,,63.5,60.0,15,0,0,0,0,18,14,2,0,2,0,31,29,7.25,7.8,,0
Will Shipley,144138,HB,PHI,1,4,0,0,0.0,0,0,17,0,0,0,10,0.0,0,1,24,0,0,71.2,64.6,73.8,,78.4,77.1,54.2,72.4,7,0,17,2,6,4,0,0,2,6,0,17,10,2.5,4.3,2.83,4
Jacoby Brissett,10725,QB,ARZ,1,4,1,0,0.0,0,0,0,0,0,0,,100.0,1,1,1,2,0,24.0,47.2,79.4,44.9,,,68.5,60.1,15,0,0,0,0,17,31,4,0,0,0,31,36,9.0,7.8,,0
Devin Neal,144558,HB,NO,1,4,0,0,0.0,0,0,22,0,0,0,16,0.0,1,1,20,0,1,70.6,65.2,76.4,,33.7,71.7,64.7,58.6,14,0,9,3,10,11,0,0,3,7,0,22,16,4.0,5.5,0.9,3
Terrell Jennings,102408,HB,NE,1,4,0,0,0.0,0,0,5,0,0,0,8,0.0,0,1,19,0,4,68.6,55.5,66.9,,73.0,,55.9,,2,0,0,0,0,4,0,0,0,4,0,5,8,2.0,1.3,,0
Drew Lock,39517,QB,SEA,1,4,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,29,1,0,15.9,37.7,70.6,,,,44.0,60.0,0,0,0,0,0,6,0,0,0,4,0,-4,0,0.0,-1.0,,1
RJ Harvey,99622,HB,DEN,1,4,0,0,0.0,0,0,9,0,2,0,4,33.3,0,0,10,0,1,71.5,62.0,76.2,,,62.1,61.3,,7,0,9,2,12,3,0,0,3,6,0,9,4,1.0,2.3,0.75,2
Tyler Shough,83537,QB,NO,1,4,0,0,0.0,0,0,-6,0,0,0,0,0.0,0,0,20,0,0,78.3,76.8,78.5,75.5,,,63.6,60.1,3,0,0,0,0,25,3,1,0,3,0,-3,5,1.25,-0.8,,0
Matthew Stafford,4924,QB,LA,1,3,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,26,0,0,79.2,87.6,79.2,85.8,,,60.5,60.0,-1,0,0,0,0,31,0,0,0,3,0,-3,0,0.0,-1.0,,0
Geno Smith,7820,QB,LV,1,3,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,23,0,0,78.7,67.5,78.6,66.6,,,61.3,60.0,6,1,0,0,0,22,7,2,0,1,0,7,7,2.33,2.3,,0
