slice,position,line_bucket,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_edge_yards,avg_ev_percent,avg_actual,avg_actual_minus_line,avg_projection_minus_actual,avg_market_odds,avg_over_price,avg_under_price,avg_recommended_prob,avg_implied_prob,avg_probability_edge,calibration_gap,projection_bias,overconfidence_flag,side,fav_status,spread_bucket,total_bucket
side + position,WR,,22,12,0,0.5454545454545454,0.9090909090909101,0.04132231404958682,51.04545454545455,48.281363636363636,3.0213636363636356,4.4099173553719115,51.40909090909091,0.36363636363636365,-3.127727272727272,-110.0,-110.0,-110.0,0.5469090909090909,0.5238095238095238,0.023099567099567106,0.0014545454545454861,projection_low,False,under,,,
side + line_bucket,,20-30,165,90,0,0.5454545454545454,6.835016835016842,0.04142434445464753,24.97878787878788,29.33987878787879,4.361090909090909,6.271146503953265,31.454545454545453,6.475757575757576,-2.1146666666666665,-110.0,-110.0,-108.8,0.5566545454545455,0.5237969933091885,0.03285755214535701,0.011200000000000099,projection_low,False,over,,,
side + line_bucket,,30-40,93,44,0,0.4731182795698925,-8.999999999999996,-0.09677419354838705,34.596774193548384,39.92924731182796,5.33247311827957,6.514956011730211,38.946236559139784,4.349462365591398,0.983010752688172,-110.0,-110.0,-110.0,0.5579354838709678,0.523809523809524,0.03412596006144391,0.08481720430107531,projection_high,True,over,,,
side + line_bucket,,40-50,121,58,0,0.4793388429752066,-10.27272727272727,-0.08489857250187827,44.70661157024794,49.80388429752067,5.097272727272728,6.13914350112698,50.00826446280992,5.301652892561983,-0.20438016528925565,-110.0,-110.0,-110.0,0.5559669421487603,0.5238095238095238,0.032157418339236514,0.07662809917355368,projection_low,True,over,,,
side + line_bucket,,50-60,74,34,0,0.4594594594594595,-9.090909090909086,-0.12285012285012278,54.58108108108108,60.856486486486475,6.275405405405405,6.079951722056991,55.986486486486484,1.4054054054054055,4.87,-110.05405405405405,-110.05405405405405,-109.94594594594595,0.5557837837837838,0.5239298043036361,0.03185397948014769,0.0963243243243243,projection_high,True,over,,,
side + line_bucket,,60+,89,43,0,0.48314606741573035,-6.909090909090906,-0.07763023493360569,68.70224719101124,74.24595505617977,5.599438202247192,6.24350374252751,68.51685393258427,-0.1853932584269663,5.729101123595506,-110.13483146067416,-110.13483146067416,-107.64044943820225,0.5568314606741573,0.5240987375818836,0.03273272309227364,0.07368539325842699,projection_high,True,over,,,
side + line_bucket,,<20,74,40,0,0.5405405405405406,2.4069264069264102,0.03252603252603257,17.35135135135135,20.68405405405405,3.332702702702703,6.3899145899145955,24.2027027027027,6.851351351351352,-3.518648648648649,-107.02702702702703,-107.02702702702703,-110.29729729729729,0.5565945945945946,0.5231738707348464,0.03342072385974823,0.016054054054054023,projection_low,False,over,,,
side + line_bucket,,20-30,14,10,0,0.7142857142857143,5.090909090909093,0.36363636363636376,24.5,21.76642857142857,2.8650000000000007,5.327272727272735,23.0,-1.5,-1.2335714285714285,-110.0,-110.0,-110.0,0.5517142857142856,0.5238095238095238,0.0279047619047619,-0.1625714285714287,projection_low,False,under,,,
side + line_bucket,,30-40,5,3,0,0.6,0.7272727272727275,0.1454545454545455,34.1,32.51800000000001,2.129999999999999,4.7709090909091,27.2,-6.9,5.3180000000000005,-110.0,-110.0,-110.0,0.5488000000000001,0.5238095238095238,0.024990476190476184,-0.05119999999999991,projection_high,False,under,,,
side + line_bucket,,40-50,3,3,0,1.0,2.7272727272727275,0.9090909090909092,44.5,42.4,2.1000000000000014,4.109090909090919,26.333333333333332,-18.166666666666668,16.066666666666666,-110.0,-110.0,-110.0,0.5453333333333333,0.5238095238095238,0.02152380952380954,-0.45466666666666666,projection_high,False,under,,,
