split_name,sample_type,policy_name,filter_definition,bets,removed_bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_actual,avg_projection_minus_actual,avg_actual_minus_line,avg_edge_yards,avg_ev_percent,avg_recommended_prob,calibration_gap
weeks_1_9_vs_10_18,test,3_exclude_mid_total_overs,Exclude overs where 42 <= game_total < 47.,168,136,94,0,0.5595238095238095,11.471380471380478,0.06828202661535998,40.220238095238095,44.016845238095236,46.089285714285715,-2.0724404761904758,5.869047619047619,4.590178571428571,6.006144359214542,0.5552976190476191,-0.004226190476190439
weeks_1_9_vs_10_18,test,4_combined,Exclude high-line favorite WR overs and overs where 42 <= game_total < 47.,144,160,86,0,0.5972222222222222,20.198653198653208,0.1402684249906473,36.5,39.99805555555556,43.78472222222222,-3.7866666666666666,7.284722222222222,4.4238888888888885,6.1252992891881854,0.5558611111111111,-0.04136111111111107
weeks_1_12_vs_13_18,train,1_baseline,Keep all current receiving-yards settled bets.,472,0,234,0,0.4957627118644068,-25.22943722943721,-0.05345219751999409,39.33474576271186,43.92366525423729,43.05084745762712,0.8728177966101696,3.7161016949152543,4.890911016949153,6.203011839508096,0.5562627118644068,0.0605
weeks_1_12_vs_13_18,train,2_exclude_high_line_favorite_wr_overs,"Exclude overs where position == WR, team is favorite, and line >= 50.",404,68,207,0,0.5123762376237624,-8.77489177489176,-0.02172002914577168,35.40346534653465,39.67470297029703,40.353960396039604,-0.6792574257425745,4.9504950495049505,4.624059405940594,6.196770321060215,0.5561534653465346,0.04377722772277226
weeks_1_12_vs_13_18,train,3_exclude_mid_total_overs,Exclude overs where 42 <= game_total < 47.,271,201,140,0,0.5166051660516605,-3.727272727272716,-0.013753773901375336,38.73616236162361,43.06494464944649,43.32841328413284,-0.26346863468634646,4.592250922509225,4.854760147601476,6.257896733959895,0.5565977859778598,0.03999261992619929
weeks_1_12_vs_13_18,train,4_combined,Exclude high-line favorite WR overs and overs where 42 <= game_total < 47.,234,238,126,0,0.5384615384615384,6.545454545454556,0.027972027972028017,34.97435897435897,38.94910256410257,40.82905982905983,-1.8799572649572651,5.854700854700854,4.583888888888889,6.302020202020209,0.5567094017094016,0.018247863247863205
weeks_1_12_vs_13_18,test,1_baseline,Keep all current receiving-yards settled bets.,187,0,100,0,0.5347593582887701,3.9259259259259345,0.02099425628837398,39.831550802139034,43.90336898395721,45.04812834224599,-1.14475935828877,5.216577540106952,4.556844919786096,6.075427698506793,0.5556577540106953,0.0208983957219252
weeks_1_12_vs_13_18,test,2_exclude_high_line_favorite_wr_overs,"Exclude overs where position == WR, team is favorite, and line >= 50.",164,23,92,0,0.5609756097560976,11.653198653198661,0.07105608934877232,36.5,40.40560975609756,43.25609756097561,-2.8504878048780493,6.7560975609756095,4.458658536585366,6.116116449043285,0.5558170731707318,-0.005158536585365803
weeks_1_12_vs_13_18,test,3_exclude_mid_total_overs,Exclude overs where 42 <= game_total < 47.,104,83,56,0,0.5384615384615384,2.9259259259259305,0.02813390313390318,40.625,44.333173076923075,45.67307692307692,-1.3399038461538464,5.048076923076923,4.580288461538461,5.927757671178731,0.5549038461538462,0.01644230769230781
weeks_1_12_vs_13_18,test,4_combined,Exclude high-line favorite WR overs and overs where 42 <= game_total < 47.,89,98,51,0,0.5730337078651685,8.380471380471384,0.09416259978057735,37.08426966292135,40.42112359550562,43.73033707865169,-3.3092134831460673,6.646067415730337,4.355955056179775,6.044202322854015,0.5554157303370787,-0.0176179775280898
weeks_1_14_vs_15_18,train,1_baseline,Keep all current receiving-yards settled bets.,556,0,280,0,0.5035971223021583,-21.411255411255382,-0.038509452178516874,39.53237410071942,44.04823741007194,43.57913669064748,0.46910071942446013,4.046762589928058,4.833920863309352,6.193629409863641,0.5562194244604317,0.05262230215827346
weeks_1_14_vs_15_18,train,2_exclude_high_line_favorite_wr_overs,"Exclude overs where position == WR, team is favorite, and line >= 50.",475,81,247,0,0.52,-3.4112554112553912,-0.0071815903394850346,35.58631578947369,39.807936842105256,40.73684210526316,-0.9289052631578949,5.150526315789474,4.593915789473684,6.199549723787866,0.5561852631578947,0.03618526315789472
weeks_1_14_vs_15_18,train,3_exclude_mid_total_overs,Exclude overs where 42 <= game_total < 47.,317,239,166,0,0.5236593059936908,-0.0909090909090775,-0.00028677946659014984,39.37697160883281,43.638958990536274,43.85804416403786,-0.21908517350157716,4.481072555205047,4.819842271293376,6.233148885556194,0.5564668769716089,0.03280757097791809
weeks_1_14_vs_15_18,train,4_combined,Exclude high-line favorite WR overs and overs where 42 <= game_total < 47.,269,287,147,0,0.5464684014869888,11.636363636363651,0.04325785738425149,35.2360594795539,39.13587360594795,40.89219330855018,-1.7563197026022306,5.656133828996283,4.557211895910781,6.315714768502878,0.5567955390334574,0.010327137546468523
weeks_1_14_vs_15_18,test,1_baseline,Keep all current receiving-yards settled bets.,103,0,54,0,0.5242718446601942,0.10774410774411347,0.0010460592984865384,39.16990291262136,43.21436893203884,43.8252427184466,-0.6108737864077675,4.655339805825243,4.592038834951457,6.022025397906858,0.5553980582524272,0.031126213592233
weeks_1_14_vs_15_18,test,2_exclude_high_line_favorite_wr_overs,"Exclude overs where position == WR, team is favorite, and line >= 50.",93,10,52,0,0.5591397849462365,6.289562289562293,0.06762970203830423,36.403225806451616,40.28311827956989,43.516129032258064,-3.2330107526881724,7.112903225806452,4.486344086021505,6.040346113464401,0.5553978494623657,-0.0037419354838708063
weeks_1_14_vs_15_18,test,3_exclude_mid_total_overs,Exclude overs where 42 <= game_total < 47.,58,45,30,0,0.5172413793103449,-0.710437710437708,-0.012248926042029448,38.62068965517241,42.20172413793103,44.63793103448276,-2.436206896551724,6.017241379310345,4.553448275862069,5.801183034213894,0.5542758620689656,0.03703448275862076
weeks_1_14_vs_15_18,test,4_combined,Exclude high-line favorite WR overs and overs where 42 <= game_total < 47.,54,49,30,0,0.5555555555555556,3.2895622895622925,0.06091782017707949,37.148148148148145,40.44481481481481,45.2962962962963,-4.851481481481482,8.148148148148149,4.341111111111111,5.808878912582624,0.5541481481481482,-0.0014074074074074128
