archetype,stat,count,mean,median,mean_minus_median,std,cv,skew,p25,p75,p90,max
high_target_receiver,receiving_yards,2648,81.29947129909365,77.0,4.299471299093653,37.031243607532886,0.4554918133636832,0.8506546526120488,54.0,102.0,129.30000000000018,266.0
high_target_receiver,targets,2648,9.96941087613293,9.0,0.9694108761329296,2.1185601351100134,0.21250605090235675,1.470316171042776,8.0,11.0,13.0,23.0
high_target_receiver,receptions,2648,6.755287009063444,7.0,-0.24471299093655574,2.1851774232171826,0.3234766221309872,0.5411122098274074,5.0,8.0,10.0,18.0
high_target_receiver,routes,2648,37.19108761329305,37.0,0.19108761329304969,7.935928487737015,0.21338253320939476,0.28875981801462186,32.0,42.0,47.0,69.0
high_target_receiver,rushing_yards,392,7.25,5.0,2.25,11.380593254013572,1.5697370005535962,4.817624061532844,2.0,10.0,18.0,138.0
high_target_receiver,rush_attempts,392,1.403061224489796,1.0,0.403061224489796,0.8822146141376175,0.6287784158944474,3.3184154701662982,1.0,2.0,2.0,8.0
high_target_receiver,passing_yards,41,6.682926829268292,0.0,6.682926829268292,12.59055007612901,1.8839874201506912,1.9704293537915585,0.0,11.0,23.0,49.0
high_target_receiver,pass_attempts,41,1.048780487804878,1.0,0.04878048780487809,0.21808478995509087,0.2079413113525285,4.350225198709699,1.0,1.0,1.0,2.0
mobile_qb_game,rushing_yards,820,45.54390243902439,40.0,5.543902439024393,19.65506640909732,0.4315630711578161,1.888924188995472,31.0,55.0,71.0,178.0
mobile_qb_game,rush_attempts,820,7.140243902439025,7.0,0.14024390243902474,3.2537893661981663,0.4556972297664383,0.9066331868089004,5.0,9.0,11.100000000000023,21.0
mobile_qb_game,passing_yards,818,217.60513447432763,217.0,0.6051344743276275,74.18635322082262,0.3409218877120517,0.00817298828895169,169.0,264.0,311.30000000000007,446.0
mobile_qb_game,pass_attempts,818,31.117359413202934,31.0,0.11735941320293364,8.98609925382936,0.28878090632640907,-0.05838279292137653,25.25,37.0,42.0,68.0
other,receiving_yards,10944,17.363029970760234,11.0,6.363029970760234,18.859471754370393,1.0861855209678382,1.7348610596106355,4.0,25.0,43.0,151.0
other,targets,10944,2.4703033625730995,2.0,0.47030336257309946,1.7175696675009153,0.6952869406743117,1.1473386191012076,1.0,3.0,5.0,7.0
other,receptions,10944,1.8123172514619883,1.0,0.8123172514619883,1.4172634279123495,0.7820172912711885,1.078466954686324,1.0,3.0,4.0,7.0
other,routes,10944,14.471673976608187,11.0,3.471673976608187,10.65912063376114,0.7365506333953068,0.8981096692591233,6.0,21.0,31.0,70.0
other,rushing_yards,6931,13.894243254941568,9.0,4.894243254941568,16.39040950841867,1.1796547107802597,2.105410673896211,3.0,20.0,34.0,151.0
other,rush_attempts,6931,3.6569037656903767,3.0,0.6569037656903767,2.8436435064451593,0.7776096087418685,1.0570026014224019,1.0,5.0,8.0,14.0
other,passing_yards,2556,192.30594679186228,209.0,-16.694053208137717,107.19203965685135,0.5574036655916215,-0.2248443897580556,121.0,269.25,322.0,525.0
other,pass_attempts,2556,27.11658841940532,30.0,-2.8834115805946787,13.646835101161171,0.5032651928807957,-0.48953408698403267,20.0,37.0,42.0,66.0
receiving_rb,receiving_yards,1594,33.0138017565872,29.0,4.013801756587199,20.964767268977912,0.6350303858838324,1.100000778441146,18.0,43.0,60.700000000000045,129.0
receiving_rb,targets,1594,5.444165621079047,5.0,0.4441656210790468,1.7306967380707938,0.31789935474589137,1.8907395476201088,4.0,6.0,8.0,19.0
receiving_rb,receptions,1594,4.446047678795483,4.0,0.446047678795483,1.686670928211273,0.3793641116930675,1.0486100808520566,3.0,5.0,7.0,14.0
receiving_rb,routes,1594,21.70012547051443,21.0,0.7001254705144291,7.433431716090589,0.3425524763066898,0.6012801519574593,16.0,27.0,31.700000000000045,56.0
receiving_rb,rushing_yards,1562,50.572343149807935,44.0,6.572343149807935,35.68068153408443,0.7055374402643224,1.2000057526540062,24.25,69.0,99.0,255.0
receiving_rb,rush_attempts,1562,11.961587708066581,12.0,-0.038412291933418885,6.190117108408606,0.5174996212446074,0.4174562074184383,7.0,16.0,20.0,36.0
slot_receiver,receiving_yards,2453,27.020383204239707,22.0,5.020383204239707,21.493644313060482,0.795460380802,1.1368435904300798,10.0,39.0,56.0,153.0
slot_receiver,targets,2453,3.8067672238075825,4.0,-0.19323277619241752,1.8595031331394145,0.48847303336806425,0.1581066163535522,2.0,5.0,6.0,7.0
slot_receiver,receptions,2453,2.7827150428047287,3.0,-0.2172849571952713,1.594646825567717,0.573054301658015,0.3151142342428722,2.0,4.0,5.0,7.0
slot_receiver,routes,2453,24.267427639624948,23.0,1.2674276396249482,9.002504805248257,0.37097070768838153,0.4411114561882582,17.0,31.0,37.0,62.0
slot_receiver,rushing_yards,332,7.771084337349397,4.5,3.2710843373493974,11.488152627137511,1.478320415585137,2.325548264365192,1.0,10.0,20.900000000000034,71.0
slot_receiver,rush_attempts,332,1.4216867469879517,1.0,0.4216867469879517,1.1115486263344498,0.7818519998793164,5.018850575183365,1.0,1.0,2.0,11.0
slot_receiver,passing_yards,20,16.1,3.0,13.100000000000001,21.37115616407951,1.3274010039800936,1.384613307408747,0.75,32.0,44.2,75.0
slot_receiver,pass_attempts,20,1.05,1.0,0.050000000000000044,0.22360679774997902,0.21295885499998002,4.472135954999576,1.0,1.0,1.0,2.0
