position,stat,count,mean,median,mean_minus_median,std,cv,skew,p25,p75,p90,max
ED,receiving_yards,1,2.0,2.0,0.0,,,,2.0,2.0,2.0,2.0
ED,targets,1,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0
ED,receptions,1,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0
ED,routes,1,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0
ED,yprr,1,2.0,2.0,0.0,,,,2.0,2.0,2.0,2.0
ED,receiving_adot,1,8.0,8.0,0.0,,,,8.0,8.0,8.0,8.0
FB,receiving_yards,360,9.15,6.0,3.1500000000000004,10.683846135410475,1.1676334574219098,1.5987867173024282,1.0,13.25,26.0,52.0
FB,targets,360,1.525,1.0,0.5249999999999999,0.8571751884073464,0.5620820907589157,1.6965500582369912,1.0,2.0,3.0,5.0
FB,receptions,360,1.2,1.0,0.19999999999999996,0.8888037718455051,0.7406698098712543,0.9852217142800904,1.0,2.0,2.0,4.0
FB,routes,360,7.136111111111111,5.0,2.136111111111111,5.262028416085073,0.7373803930675852,1.3666087063168777,3.0,10.0,14.100000000000023,38.0
FB,yprr,360,1.576888888888889,1.0,0.576888888888889,2.1507392753462393,1.3639130128323107,2.8300838473692727,0.2,2.0,3.8620000000000005,17.33
FB,receiving_adot,360,2.895277777777778,2.0,0.8952777777777778,5.335575136722959,1.842854311829862,1.679114962115951,0.0,4.075,9.0,26.0
FB,rushing_yards,188,4.473404255319149,3.0,1.4734042553191493,7.160821443810914,1.600754377451191,4.321284508174887,1.0,5.0,9.300000000000011,63.0
FB,rush_attempts,188,1.4893617021276595,1.0,0.4893617021276595,1.3542934764457855,0.9093113341850274,5.414934678149257,1.0,2.0,2.0,13.0
FB,rushing_tds,188,0.09574468085106383,0.0,0.09574468085106383,0.29502647161824747,3.081387592457251,2.7699355132196377,0.0,0.0,0.0,1.0
FB,rushing_ypa,188,2.8095744680851067,2.0,0.8095744680851067,3.247461176985666,1.1558551709074312,3.6322522572418467,1.0,4.0,6.0,30.0
G,receiving_yards,9,1.4444444444444444,0.0,1.4444444444444444,2.2422706745122847,1.5523412362008124,0.7353156139749,0.0,4.0,4.2,5.0
G,targets,9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
G,receptions,9,0.7777777777777778,1.0,-0.2222222222222222,0.44095855184409843,0.5669467095138409,-1.6198477414681167,1.0,1.0,1.0,1.0
G,routes,9,1.1111111111111112,1.0,0.11111111111111116,1.536590742882148,1.382931668593933,2.4226939364789413,0.0,1.0,1.8000000000000007,5.0
G,yprr,6,1.8,0.9,0.9,2.154065922853802,1.1967032904743344,0.9076660064343829,0.2,3.25,4.5,5.0
G,receiving_adot,9,2.0,1.0,1.0,7.14142842854285,3.570714214271425,1.3582128462095215,-1.0,4.0,7.600000000000002,18.0
HB,passing_yards,31,5.161290322580645,2.0,3.161290322580645,8.918508000009673,1.7279609250018741,2.3328089314374423,0.0,4.5,17.0,34.0
HB,pass_attempts,31,1.032258064516129,1.0,0.032258064516129004,0.17960530202677494,0.17399263633843823,5.567764362830017,1.0,1.0,1.0,2.0
HB,passing_tds,31,0.3870967741935484,0.0,0.3870967741935484,0.49513764785419084,1.279105590289993,0.4874994082774926,0.0,1.0,1.0,1.0
HB,passing_ypa,31,5.096774193548387,2.0,3.096774193548387,8.934408537445469,1.752953573802592,2.34203346823673,0.0,4.5,17.0,34.0
HB,receiving_yards,5346,17.478114478114477,12.0,5.4781144781144775,18.11636815209529,1.036517307103121,1.7068186792383968,5.0,25.0,42.0,129.0
HB,targets,5346,2.897119341563786,2.0,0.8971193415637861,2.0238713672330366,0.6985805997693578,1.502341864852398,1.0,4.0,6.0,19.0
HB,receptions,5346,2.363262252151141,2.0,0.36326225215114105,1.7897193526730806,0.7573088221774805,1.352094624602939,1.0,3.0,5.0,14.0
HB,routes,5346,14.784698840254396,14.0,0.7846988402543964,8.279983509393844,0.560037346641778,0.6666250089784437,8.0,20.0,26.0,56.0
HB,yprr,5346,1.32215114104003,1.0,0.32215114104002995,1.5012257705608703,1.135441874958393,3.2471765534819155,0.4,1.79,3.0,23.33
HB,receiving_adot,5346,0.0030864197530863983,-0.3,0.30308641975308637,4.02315140832037,1303.501056295809,1.8915619793154246,-2.375,2.0,4.0,30.0
HB,rushing_yards,6673,39.61891203356811,30.0,9.618912033568108,36.0349631488627,0.9095394421313534,1.320271637753771,11.0,59.0,90.0,255.0
HB,rush_attempts,6673,9.211299265697587,8.0,1.211299265697587,6.710125898494456,0.7284668215571528,0.7618864341112848,3.0,14.0,19.0,37.0
HB,rushing_tds,6673,0.2845796493331335,0.0,0.2845796493331335,0.5632350308064253,1.9791823910327944,2.0827720428258667,0.0,0.0,1.0,4.0
HB,rushing_ypa,6673,4.108916529297168,3.8,0.30891652929716784,2.6341524088111807,0.641081995710863,2.14894969998265,2.7,5.0,6.9,35.0
K,passing_yards,2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
K,pass_attempts,2,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0
K,passing_tds,2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
K,passing_ypa,2,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
K,rushing_yards,1,6.0,6.0,0.0,,,,6.0,6.0,6.0,6.0
K,rush_attempts,1,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0
K,rushing_tds,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
K,rushing_ypa,1,6.0,6.0,0.0,,,,6.0,6.0,6.0,6.0
LB,passing_yards,1,31.0,31.0,0.0,,,,31.0,31.0,31.0,31.0
LB,pass_attempts,1,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0
LB,passing_tds,1,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
LB,passing_ypa,1,31.0,31.0,0.0,,,,31.0,31.0,31.0,31.0
LB,receiving_yards,5,11.2,6.0,5.199999999999999,13.461054936371072,1.2018799050331315,1.6969893679318147,4.0,12.0,25.200000000000003,34.0
LB,targets,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LB,receptions,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LB,routes,5,1.4,1.0,0.3999999999999999,0.5477225575051661,0.3912303982179758,0.6085806194501855,1.0,2.0,2.0,2.0
LB,yprr,5,10.6,4.0,6.6,13.813037319865606,1.3031167282892082,1.7229567759982722,3.0,12.0,25.200000000000003,34.0
LB,receiving_adot,5,3.2,4.0,-0.7999999999999998,3.0331501776206204,0.9478594305064438,-0.31535587858059416,0.0,6.0,6.0,6.0
LB,rushing_yards,7,1.4285714285714286,1.0,0.4285714285714286,1.618347187425374,1.1328430311977618,0.6740884152581721,0.0,2.5,3.4000000000000004,4.0
LB,rush_attempts,7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
LB,rushing_tds,7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
LB,rushing_ypa,7,1.4285714285714286,1.0,0.4285714285714286,1.618347187425374,1.1328430311977618,0.6740884152581721,0.0,2.5,3.4000000000000004,4.0
P,passing_yards,37,9.54054054054054,6.0,3.5405405405405403,9.570192714286824,1.0031080182113667,0.7642904639547538,0.0,16.0,21.799999999999997,34.0
P,pass_attempts,37,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
P,passing_tds,37,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
P,passing_ypa,37,9.54054054054054,6.0,3.5405405405405403,9.570192714286824,1.0031080182113667,0.7642904639547538,0.0,16.0,21.799999999999997,34.0
P,rushing_yards,21,-5.761904761904762,-3.0,-2.761904761904762,10.681314347517173,-1.853781828907939,-0.8815335013016068,-11.0,0.0,4.0,11.0
P,rush_attempts,21,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
P,rushing_tds,21,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
P,rushing_ypa,21,-5.761904761904762,-3.0,-2.761904761904762,10.681314347517173,-1.853781828907939,-0.8815335013016068,-11.0,0.0,4.0,11.0
QB,passing_yards,3271,204.35493732803425,214.0,-9.645062671965746,96.54944846717481,0.4724595829666297,-0.282012173627072,149.0,270.0,321.0,525.0
QB,pass_attempts,3271,28.936105166615715,30.0,-1.0638948333842855,12.044408729580947,0.4162415314787034,-0.5537682012668294,23.0,37.0,42.0,68.0
QB,passing_tds,3271,1.267808009782941,1.0,0.26780800978294095,1.144779425815596,0.9029596098005341,0.7559251459028905,0.0,2.0,3.0,6.0
QB,passing_ypa,3271,6.975420360745948,6.9,0.07542036074594805,2.8121875319189003,0.40315671120617114,4.319922813824079,5.6,8.2,9.6,69.0
QB,receiving_yards,46,2.739130434782609,0.0,2.739130434782609,8.757053747589095,3.1970196221357012,1.5603743854729843,-1.75,4.75,14.0,33.0
QB,targets,46,1.108695652173913,1.0,0.10869565217391308,0.3146963876899777,0.2838438006615485,2.5999085155939174,1.0,1.0,1.5,2.0
QB,receptions,46,0.8043478260869565,1.0,-0.19565217391304346,0.49975839573365866,0.621321248749954,-0.3831638714563589,1.0,1.0,1.0,2.0
QB,routes,46,1.2826086956521738,1.0,0.28260869565217384,2.3819977001412624,1.8571507492626793,3.2067231041590514,0.0,1.0,2.5,12.0
QB,yprr,27,2.6725925925925926,0.0,2.6725925925925926,7.239744254191364,2.7088843523166135,3.1917179846275894,0.0,2.0,7.132000000000001,33.0
QB,receiving_adot,46,1.25,0.0,1.25,8.51844404154238,6.814755233233905,0.8618796926126556,-6.0,6.5,13.5,27.0
QB,rushing_yards,3014,17.565693430656935,10.0,7.5656934306569354,20.975168198359277,1.1940985012155498,1.8082405680574816,2.0,27.0,46.0,178.0
QB,rush_attempts,3014,3.984406104844061,3.0,0.9844061048440609,2.9666957153176874,0.7445766413496137,1.5392325794097574,2.0,5.0,8.0,21.0
QB,rushing_tds,3014,0.1838088918380889,0.0,0.1838088918380889,0.4602232801741323,2.5038140188534923,2.6690408872375384,0.0,0.0,1.0,3.0
QB,rushing_ypa,3013,3.9113176236309326,3.5,0.4113176236309326,3.8170018788275226,0.975886452116907,1.1248874052392823,1.0,6.0,8.5,31.0
S,passing_yards,3,9.666666666666666,6.0,3.666666666666666,11.930353445448853,1.234174494356778,1.2523897182888695,3.0,14.5,19.6,23.0
S,pass_attempts,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
S,passing_tds,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
S,passing_ypa,3,9.666666666666666,6.0,3.666666666666666,11.930353445448853,1.234174494356778,1.2523897182888695,3.0,14.5,19.6,23.0
S,receiving_yards,5,5.8,4.0,1.7999999999999998,6.099180272790763,1.0515828056535799,1.5395158900492927,3.0,6.0,12.0,16.0
S,targets,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
S,receptions,5,0.8,1.0,-0.19999999999999996,0.4472135954999579,0.5590169943749473,-2.23606797749979,1.0,1.0,1.0,1.0
S,routes,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
S,yprr,5,5.8,4.0,1.7999999999999998,6.099180272790763,1.0515828056535799,1.5395158900492927,3.0,6.0,12.0,16.0
S,receiving_adot,5,5.2,4.0,1.2000000000000002,2.16794833886788,0.41691314208997693,0.5594072218898553,4.0,7.0,7.6,8.0
S,rushing_yards,26,6.076923076923077,2.0,4.076923076923077,10.221244843650217,1.6819769995880105,2.3570924602490884,1.25,4.0,17.5,42.0
S,rush_attempts,26,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
S,rushing_tds,26,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
S,rushing_ypa,26,6.076923076923077,2.0,4.076923076923077,10.221244843650217,1.6819769995880105,2.3570924602490884,1.25,4.0,17.5,42.0
T,receiving_yards,27,2.6666666666666665,1.0,1.6666666666666665,4.779765040894149,1.792411890335306,2.4436347603009017,0.0,4.5,7.800000000000004,21.0
T,targets,27,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
T,receptions,27,0.7037037037037037,1.0,-0.2962962962962963,0.4653216269680752,0.6612465225335805,-0.9455825272230203,0.0,1.0,1.0,1.0
T,routes,27,0.9259259259259259,1.0,-0.07407407407407407,0.38490017945975047,0.4156921938165305,-0.825388827145323,1.0,1.0,1.0,2.0
T,yprr,24,3.0833333333333335,1.0,2.0833333333333335,4.907108124438215,1.5914945268448266,2.3560635736192514,0.0,5.25,8.399999999999999,21.0
T,receiving_adot,27,3.3703703703703702,4.0,-0.6296296296296298,3.8043310151634375,1.1287575539495913,-0.8656855351392643,1.0,6.0,7.400000000000002,8.0
TE,passing_yards,33,12.212121212121213,3.0,9.212121212121213,17.99784288421389,1.473768772156472,2.1821711959160557,0.0,18.0,35.20000000000001,80.0
TE,pass_attempts,33,1.393939393939394,1.0,0.39393939393939403,0.7044232543095956,0.5053471172221011,2.114370111852605,1.0,2.0,2.0,4.0
TE,passing_tds,33,0.15151515151515152,0.0,0.15151515151515152,0.36410954062720957,2.403122968139583,2.0376710881920888,0.0,0.0,1.0,1.0
TE,passing_ypa,33,8.157575757575756,3.0,5.157575757575756,11.083941940455748,1.3587298812594344,1.559080812888461,0.0,13.0,22.0,40.0
TE,receiving_yards,5579,26.132819501702816,19.0,7.132819501702816,25.98115053256035,0.9941962263531272,1.6216082087215968,7.0,38.0,62.0,191.0
TE,targets,5579,3.4466750313676284,3.0,0.44667503136762843,2.648761044383948,0.7684974708314549,1.379488387205073,1.0,5.0,7.0,18.0
TE,receptions,5579,2.5319949811794227,2.0,0.5319949811794227,2.111495916319986,0.8339257905386664,1.3813023026737266,1.0,4.0,5.0,14.0
TE,routes,5579,18.782398279261518,17.0,1.7823982792615176,11.369836674312522,0.6053453081583551,0.5228514675696044,9.0,27.0,35.0,65.0
TE,yprr,5579,1.5156784369958773,1.18,0.3356784369958774,1.6939938565206543,1.1176472628839424,5.331185683401852,0.53,2.0,3.081999999999998,32.0
