Rank,Player Name,Position,College,OT Side
220,Logan Taylor,IOL,Boston College
221,Caleb Douglas,WR,Texas Tech
222,J.Michael Sturdivant,WR,Florida
223,Matthew Hibner,TE,SMU
224,Micah Pettus,OT,Florida State
225,Eric Gentry,LB,USC
226,Vincent Anthony Jr.,EDGE,Duke
227,Lorenzo Styles Jr.,CB,Ohio State
228,Tyren Montgomery,WR,John Carroll
229,Louis Moore,S,Indiana
230,Fa'alili Fa'amoe,OT,Wake Forest
231,C.J. Daniels,WR,Miami (FL)
232,Sawyer Robertson,QB,Baylor
233,Alex Harkey,OT,Oregon
234,Jamarion Miller,RB,Alabama
235,Bryson Eason,DL,Tennessee
236,Josh Cuevas,TE,Alabama
237,Eli Heidenreich,WR,Navy
238,Brandon Cleveland,DL,NC State
239,Andre Fuller,CB,Toledo
240,Kendal Daniels,S,Oklahoma
241,Logan Fano,EDGE,Utah
242,Jeremiah Williams,EDGE,Texas A&M
243,Fernando Carmona,IOL,Arkansas
244,Collin Wright,CB,Stanford
245,Eric McAlister,WR,TCU
246,Xavian Sorey Jr.,LB,Arkansas
247,Malik Benson,WR,Oregon
248,Luke Altmyer,QB,Illinois
249,Jordan van den Berg,DL,Georgia Tech
250,David Gusta,DL,Kentucky
251,Cole Wisniewski,S,Texas Tech
252,Dae'Quan Wright,TE,Mississippi
253,Dalton Johnson,S,Arizona
254,Quintayvious Hutchins,EDGE,Boston College
255,Caden Barnett,OT,Wyoming
256,Noah Whittington,RB,Oregon
257,Harrison Wallace III,WR,Mississippi
258,Micah Morris,IOL,Georgia
259,Colbie Young,WR,Georgia
260,Enrique Cruz Jr.,OT,Kansas
261,Toriano Pride,CB,Missouri
262,Nolan Rucci,OT,Penn State
263,Rene Konga,DL,Louisville
264,DeShon Singleton,S,Nebraska
265,Owen Heinecke,LB,Oklahoma
266,Deven Eastern,DL,Minnesota
267,Desmond Reid,RB,Pittsburgh
268,Barion Brown,WR,LSU
269,Chase Roberts,WR,BYU
270,Avery Smith,CB,Toledo
271,Jaeden Roberts,IOL,Alabama
272,Zavion Thomas,WR,LSU
273,Michael Heldman,EDGE,Central Michigan
274,Joe Fagnano,QB,UConn
275,Latrell McCutchin,CB,Houston
276,Jack Pyburn,EDGE,LSU
277,Skyler Gill-Howard,DL,Texas Tech
278,D.J. Campbell,IOL,Texas
279,Eric Rivers,WR,Georgia Tech
280,Max Bredeson,RB,Michigan
281,Trey Smack,K,Florida
282,Aaron Graves,DL,Iowa
283,Brett Thorson,P,Georgia
284,Keyshawn James-Newby,EDGE,New Mexico
285,Evan Beerntsen,IOL,Northwestern
286,Ethan Burke,EDGE,Texas
287,Ahmari Harvey,CB,Georgia Tech
288,Chip Trayanum,RB,Toledo
289,Robert Henry Jr.,RB,UTSA
290,Carsen Ryan,TE,BYU
291,Wydett Williams Jr.,S,Mississippi
292,Josh Moten,CB,Southern Miss
293,Karson Sharar,LB,Iowa
294,Aaron Anderson,WR,LSU
295,Dillon Bell,WR,Georgia
296,Ceyair Wright,CB,Nebraska
297,Patrick Payton,EDGE,LSU
298,Garrett DiGiorgio,OT,UCLA
299,Rahsul Faison,RB,South Carolina
300,Uar Bernard,DL,Nigeria
301,Josh Gesky,IOL,Illinois
302,Jalon Daniels,QB,Kansas
303,Behren Morton,QB,Texas Tech
304,James Thompson Jr.,DL,Illinois
305,Anterio Thompson,DL,Washington
306,Bobby Jamison-Travis,DL,Auburn
307,Jordan Hudson,WR,SMU
308,James Brockermeyer,IOL,Miami (FL)
309,Haynes King,QB,Georgia Tech
310,Dan Villari,TE,Syracuse
311,R.J. Maryland,TE,SMU
312,C.J. Donaldson,RB,Ohio State
313,Emmanuel Henderson,WR,Kansas
314,Marcus Allen,CB,North Carolina
315,Shadrach Banks,LB,UTSA
316,Diego Pavia,QB,Vanderbilt
317,Caullin Lacy,WR,Louisville
318,Kobe Baynes,IOL,Kansas
319,Joshua Braun,IOL,Kentucky
320,Lewis Bond,WR,Boston College
321,Bryan Thomas Jr.,EDGE,South Carolina
322,Xavier Nwankpa,S,Iowa
323,Vinny Anthony II,WR,Wisconsin
324,Ahmaad Moses,S,SMU
325,Jaden Dugger,LB,Louisiana-Lafayette
326,Cole Brevard,DL,Texas
327,Alan Herron,IOL,Maryland
328,Nyjalik Kelly,EDGE,UCF
329,Joey Aguilar,QB,Tennessee
330,DJ Rogers,TE,TCU
331,Marvin Jones Jr.,EDGE,Oklahoma
332,Jackson Kuwatch,EDGE,Miami (OH)
333,Jaren Kanak,TE,Oklahoma
334,Zach Durfee,EDGE,Washington
335,Dominic Zvada,K,Michigan
336,Jalen McMurray,CB,Tennessee
337,Luke Basso,LS,Oregon
338,Beau Gardner,LS,Georgia
339,Will Ferrin,K,BYU
340,Jaylon Guilbeau,CB,Texas
341,Riley Mahlman,OT,Wisconsin
342,Lake McRee,TE,USC
343,Athan Kaliakmanis,QB,Rutgers
344,Devan Boykin,S,Indiana
345,Khalil Dinkins,TE,Penn State
346,Ethan Onianwa,OT,Ohio State
347,Wade Woodaz,LB,Clemson
348,Terion Stewart,RB,Virginia Tech
349,Dean Connors,RB,Houston
350,Jalen Stroman,S,Notre Dame
351,Bauer Sharp,TE,LSU
352,Lance Mason,TE,Wisconsin
353,Tomas Rimac,IOL,Virginia Tech
354,Caden Fordham,LB,NC State
355,Austin Brown,S,Wisconsin
356,Giovanni El-Hadi,IOL,Michigan
357,Declan Williams,LB,Incarnate Word
358,Tyler Duzansky,LS,Penn State
359,Kentrel Bullock,RB,South Alabama
360,Bryce Foster,IOL,Kansas
361,Aidan Hubbard,EDGE,Northwestern
362,Mark Gronowski,QB,Iowa
363,Trebor Pena,WR,Penn State
364,Jacob Thomas,S,James Madison
365,Jeffrey M'ba,DL,SMU
366,Miles Scott,S,Illinois
367,Drew Stevens,K,Iowa
368,Jamal Haynes,RB,Georgia Tech
369,Dane Key,WR,Nebraska
370,Wesley Bissainthe,LB,Miami (FL)
371,Tanner Arkin,TE,Illinois
372,Dayon Hayes,EDGE,Texas A&M
373,Skyler Thomas,S,Oregon State
374,Miller Moss,QB,Louisville
375,Connor Tollison,IOL,Missouri
376,Keelan Marion,WR,Miami (FL)
377,Will Pauling,WR,Notre Dame
378,Delby Lemieux,IOL,Dartmouth
379,Donaven Mcculley,WR,Michigan
380,Aaron Hall,DL,Duke
381,Max Tomzcak,WR,Youngstown State
382,Rohan Jones,TE,Arkansas
383,Tristan Leigh,OT,Clemson
384,Jack Velling,TE,Michigan State
385,Romello Brinson,WR,SMU
386,Chris Hilton,WR,LSU
387,Alex Wollschlaeger,OT,Kentucky
388,O'Mega Blake,WR,Arkansas
389,Dominic Deluca,LB,Penn State
390,Al'zillion Hamilton,CB,Fresno State
391,Devonta Smith,CB,Notre Dame
392,Kaidon Salter,QB,Colorado
393,Davion Carter,IOL,Texas Tech
394,Miles Kitselman,TE,Tennessee
395,Namdi Obiazor,LB,TCU
396,Dillon Wade,IOL,Auburn
397,Kapena Gushiken,S,Mississippi
398,Cash Jones,RB,Georgia
399,Gavin Gerhardt,IOL,Cincinnati
400,Hunter Zambrano,IOL,Texas Tech
401,Fred Davis II,CB,Northwestern
402,A.J. Pena,EDGE,Rhode Island
403,Trevonte Sylvester,OT,Louisville
404,Tyre West,EDGE,Tennessee
405,Gabriel Rubio,DL,Notre Dame
406,Chris Adams,IOL,Memphis
407,Seydou Traore,TE,Mississippi State
408,Jack Stonehouse,P,Syracuse
409,Jacob De Jesus,WR,California
410,Nick Degennaro,WR,James Madison
411,Kam Dewberry,IOL,Alabama
412,Zaylin Wood,DL,Vanderbilt
413,Jackie Marshall,DL,Baylor
414,Brent Austin,CB,California
415,Michael Wortham,WR,Montana
416,Rasheed Miller,OT,Louisville
417,Darryl Peterson III,EDGE,Wisconsin
418,Josh Thompson,IOL,LSU
419,Rashad Battle,CB,Pittsburgh
420,DJ Harvey,CB,USC
421,Omari Evans,WR,Washington
422,Nyzier Fourqurean,CB,Wisconsin
423,Walker Parks,IOL,Clemson
424,Tony Grimes,CB,Purdue
425,Austin Leausa,IOL,BYU
426,Jalen Jones,CB,William & Mary
427,Eric O'Neill,EDGE,Rutgers
428,Tommy Doman,P,Florida
429,Isaiah Nwokobia,S,SMU
430,Rocco Underwood,LS,Florida
431,Kevorian Barnes,RB,TCU
432,D.Q. Smith,S,South Carolina
433,Gary Smith III,DL,UCLA
434,Jaffer Murphy,K,UTSA
435,Joshua Weru,EDGE,Kenya
436,Kansei Matsuzawa,K,Hawaii
437,Eli Blakey,S,Miami (OH)
438,Tyreek Chappell,CB,Texas A&M
439,Cian Slone,EDGE,NC State
440,Derek Simmons,OT,Oklahoma
441,Noah Thomas,WR,Georgia
442,TJ Guy,EDGE,Michigan
443,Kejon Owens,RB,Florida International
444,Jalen Catalon,S,Missouri
445,Jalil Farooq,WR,Maryland
446,Jameson Geers,TE,Minnesota
447,Preston Hodge,CB,Colorado
448,David Blay,DL,Miami (FL)
449,James Neal,IOL,Iowa State
450,Isaiah Jatta,OT,BYU
451,Bernard Gooden,DL,LSU
452,Rocco Spindler,IOL,Nebraska
453,Ethan Hurkett,EDGE,Iowa
454,Pete Nygra,IOL,Louisville
455,Ricardo Hallman,CB,Wisconsin
456,Jalen Logan-Redding,DL,Minnesota
457,Nick Andersen,S,Wake Forest
458,Jayden Williams,OT,Mississippi
459,Dariel Djabome,LB,Rutgers
460,Devin Voisin,WR,South Alabama
461,Karon Prunty,CB,Wake Forest
462,Keeshawn Silver,DL,USC
463,TJ Quinn,S,Louisville
464,Jake Retzlaff,QB,Tulane
465,Jarod Washington,CB,South Carolina State
466,Kolbey Taylor,CB,Vanderbilt
467,E.J. Williams,WR,Indiana
468,Jaren Kump,IOL,Utah
469,Kyron Drones,QB,Virginia Tech
470,Christian Jones,OT,San Diego State
471,Jalen Walthall,WR,Incarnate Word
472,Jaden Keller,LB,Virginia Tech
473,Rara Thomas,WR,Troy
474,Thomas Castellanos,QB,Florida State
475,Joe Cooper,OT,Slippery Rock
476,Maverick McIvor,QB,Western Kentucky
477,Dequan Finn,QB,Miami (OH)
478,Garrison Grimes,LS,BYU
479,Byron Cardwell,RB,San Diego State
480,Jeadyn Lukus,CB,Clemson
481,Hank Beatty,WR,Illinois
482,West Weeks,LB,LSU
483,Ryan Eckley,P,Michigan State
484,Clay Patterson,DL,Stanford
485,Bakyne Coly,OT,Purdue
486,Myles Rowser,S,Arizona State
487,Dontae Balfour,CB,Texas Tech
488,Terry Webb,DL,SMU
489,Curtis Allen,RB,Virginia Union
490,Blake Cotton,CB,Utah
491,Ka'ena Decambra,IOL,Arizona
492,Reuben Unije,OT,UCLA
493,Kalil Alexander,EDGE,Texas State
494,Izavion Miller,OT,Auburn
495,P.J. Williams,OT,SMU
496,Jakari Foster,S,Louisiana Tech
497,Shamurad Umarov,OT,Tennessee
498,Raymond Cottrell,WR,West Alabama
499,Jason Moore,DL,Ohio State
500,Braylon James,WR,TCU
501,Jaylon Braxton,CB,Mississippi
502,Jameial Lyons,EDGE,Penn State
503,Bravion Rogers,CB,Texas A&M
504,Lewis Carter,LB,UCF
505,Jaybron Harvey,EDGE,North Carolina
506,Derion Gullette,EDGE,Mississippi State
507,Nathan Leacock,WR,North Carolina
508,Ayden Williams,WR,Mississippi State
509,Brenan Vernon,DL,Notre Dame
510,Joshua Padilla,IOL,Ohio State
511,Markee Anderson,IOL,South Carolina
512,Troy Bowles,LB,Michigan
513,Ryan Niblett,WR,Texas
