pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
6,Spencer Fano,0.073,0.1069420863471217,-0.0339420863471217,0.0339420863471217,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
5,Jeremiyah Love,0.1382,0.1043632686217836,0.033836731378216384,0.033836731378216384,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
17,Akheem Mesidor,0.0336,0.0,0.0336,0.0336,v1,2026-04-17T08:11:29,,
23,Monroe Freeling,0.0336,0.0,0.0336,0.0336,v1,2026-04-17T08:11:29,,
11,Kenyon Sadiq,0.0332,0.0,0.0332,0.0332,v1,2026-04-17T08:11:29,,
25,Dillon Thieneman,0.033,0.0,0.033,0.033,v1,2026-04-17T08:11:29,,
26,Olaivavega Ioane,0.033,0.0,0.033,0.033,v1,2026-04-17T08:11:29,,
8,Kenyon Sadiq,0.002,0.0349641079929024,-0.0329641079929024,0.0329641079929024,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
16,Kadyn Proctor,0.0328,0.0,0.0328,0.0328,v1,2026-04-17T08:11:29,,
17,Keldric Faulk,0.0328,0.0,0.0328,0.0328,v1,2026-04-17T08:11:29,,
27,Spencer Fano,0.0326,0.0,0.0326,0.0326,v1,2026-04-17T08:11:29,,
28,Kadyn Proctor,0.0326,0.0,0.0326,0.0326,v1,2026-04-17T08:11:29,,
30,Emmanuel Pregnon,0.0326,0.0,0.0326,0.0326,v1,2026-04-17T08:11:29,,
10,Arvell Reese,0.0386,0.0060571044660944,0.0325428955339056,0.0325428955339056,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
8,Carnell Tate,0.0808,0.113217111596065,-0.032417111596065,0.032417111596065,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
14,Akheem Mesidor,0.0324,0.0,0.0324,0.0324,v1,2026-04-17T08:11:29,,
11,Spencer Fano,0.0322,0.0,0.0322,0.0322,v1,2026-04-17T08:11:29,,
32,C.J. Allen,0.0322,0.0,0.0322,0.0322,v1,2026-04-17T08:11:29,,
6,Rueben Bain Jr.,0.0,0.0320826259041365,-0.0320826259041365,0.0320826259041365,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
21,Jeremiyah Love,0.032,0.0,0.032,0.032,v1,2026-04-17T08:11:29,,
29,Chris Johnson,0.032,0.0,0.032,0.032,v1,2026-04-17T08:11:29,,
11,Monroe Freeling,0.0316,0.0,0.0316,0.0316,v1,2026-04-17T08:11:29,,
20,Blake Miller,0.0316,0.0,0.0316,0.0316,v1,2026-04-17T08:11:29,,
24,T.J. Parker,0.0314,0.0,0.0314,0.0314,v1,2026-04-17T08:11:29,,
18,Peter Woods,0.031,0.0,0.031,0.031,v1,2026-04-17T08:11:29,,
12,Caleb Downs,0.0302,0.0,0.0302,0.0302,v1,2026-04-17T08:11:29,,
7,Sonny Styles,0.1268,0.1568684172268009,-0.030068417226800898,0.030068417226800898,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
10,Olaivavega Ioane,0.0592,0.0291317881464543,0.030068211853545704,0.030068211853545704,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
11,Dillon Thieneman,0.03,0.0,0.03,0.03,v1,2026-04-17T08:11:29,,
14,Keldric Faulk,0.03,0.0,0.03,0.03,v1,2026-04-17T08:11:29,,
27,Monroe Freeling,0.0298,0.0,0.0298,0.0298,v1,2026-04-17T08:11:29,,
7,Caleb Downs,0.099,0.0692066546588827,0.0297933453411173,0.0297933453411173,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
16,Kenyon Sadiq,0.0296,0.0,0.0296,0.0296,v1,2026-04-17T08:11:29,,
20,Caleb Lomu,0.0296,0.0,0.0296,0.0296,v1,2026-04-17T08:11:29,,
17,Dillon Thieneman,0.0294,0.0,0.0294,0.0294,v1,2026-04-17T08:11:29,,
27,Kadyn Proctor,0.029,0.0,0.029,0.029,v1,2026-04-17T08:11:29,,
23,Spencer Fano,0.0288,0.0,0.0288,0.0288,v1,2026-04-17T08:11:29,,
19,T.J. Parker,0.0284,0.0,0.0284,0.0284,v1,2026-04-17T08:11:29,,
24,Emmanuel McNeil-Warren,0.0284,0.0,0.0284,0.0284,v1,2026-04-17T08:11:29,,
28,Cashius Howell,0.0284,0.0,0.0284,0.0284,v1,2026-04-17T08:11:29,,
9,Sonny Styles,0.0098,0.0381855823082115,-0.0283855823082115,0.0283855823082115,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
10,Spencer Fano,0.0604,0.0321982921618705,0.028201707838129503,0.028201707838129503,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
20,T.J. Parker,0.0282,0.0,0.0282,0.0282,v1,2026-04-17T08:11:29,,
24,Avieon Terrell,0.028,0.0,0.028,0.028,v1,2026-04-17T08:11:29,,
25,Blake Miller,0.0278,0.0,0.0278,0.0278,v1,2026-04-17T08:11:29,,
24,Olaivavega Ioane,0.0276,0.0,0.0276,0.0276,v1,2026-04-17T08:11:29,,
5,Francis Mauigoa,0.1526,0.1252359223461404,0.02736407765385962,0.02736407765385962,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
5,Jordyn Tyson,0.0,0.0272252005100305,-0.0272252005100305,0.0272252005100305,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
28,Denzel Boston,0.0272,0.0,0.0272,0.0272,v1,2026-04-17T08:11:29,,
6,Monroe Freeling,0.1188,0.09166464544039,0.027135354559609998,0.027135354559609998,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
25,Denzel Boston,0.027,0.0,0.027,0.027,v1,2026-04-17T08:11:29,,
30,Kenyon Sadiq,0.027,0.0,0.027,0.027,v1,2026-04-17T08:11:29,,
1,Carnell Tate,0.0,0.0269254150970809,-0.0269254150970809,0.0269254150970809,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
1,Francis Mauigoa,0.0,0.0269254150970809,-0.0269254150970809,0.0269254150970809,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
1,Jermod McCoy,0.0,0.0269254150970809,-0.0269254150970809,0.0269254150970809,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
1,Keldric Faulk,0.0,0.0269254150970809,-0.0269254150970809,0.0269254150970809,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
1,Makai Lemon,0.0,0.0269254150970809,-0.0269254150970809,0.0269254150970809,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
