Player (413),Pos,Age,YOE,Prev Team,Prev AAV,Type,Market ValueAAV
Marquez Valdes-Scantling,WR,31.4,8,PIT,"$1,255,000",UFA,"$1,321,326"
Dante Pettis,WR,30.3,8,NO,"$1,255,000",UFA,"$1,434,549"
Brandin Cooks,WR,32.4,12,BUF,"$1,255,000",UFA,"$2,988,287"
Tyler Lockett,WR,33.4,11,LV,"$1,255,000",UFA,"$1,708,924"
Nick Vannett,TE,33,10,LAR,"$1,255,000",UFA,"$1,595,102"
Pharaoh Brown,TE,31.8,8,ARI,"$1,255,000",UFA,"$1,011,343"
Marcedes Lewis,TE,41.8,19,DEN,"$1,255,000",UFA,"$1,801,738"
Robert Tonyan Jr.,TE,31.8,7,KC,"$1,255,000",UFA,"$1,500,008"
Germain Ifedi,G,31.8,10,MIA,"$1,255,000",UFA,
Dan Feeney,C,31.8,9,TB,"$1,255,000",UFA,"$1,089,594"
Cameron Sample,ED,26.4,5,CIN,"$1,225,000",UFA,"$1,962,479"
Jaylon Jones,S,28.4,4,CHI,"$1,200,000",UFA,
Darnay Holmes,CB,27.7,6,LV,"$1,195,000",UFA,"$2,456,234"
Jalyn Holmes,ED,30.1,6,WAS,"$1,170,000",UFA,"$1,522,268"
Clelin Ferrell,ED,28.8,7,SF,"$1,170,000",UFA,"$4,713,750"
Khalid Kareem,ED,27.8,5,ATL,"$1,170,000",UFA,
Khalen Saunders,DL,29.6,7,NYJ,"$1,170,000",UFA,"$1,515,404"
Chris Wormley,DL,32.3,6,IND,"$1,170,000",UFA,"$1,368,578"
James Lynch,DL,27.1,6,TEN,"$1,170,000",UFA,"$1,669,483"
Jay Tufele,DL,26.6,5,NYJ,"$1,170,000",UFA,"$1,568,944"
Jake Curhan,RT,28.1,5,CAR,"$1,170,000",UFA,"$1,397,789"
Matt Nelson,RT,30.2,5,MIN,"$1,170,000",UFA,
Hakeem Adeniji,LT,28.2,6,DAL,"$1,170,000",UFA,"$1,611,808"
Olisaemeka Udoh,LT,29.1,7,TEN,"$1,170,000",UFA,"$1,417,707"
Scott Daly,LS,32.1,5,CHI,"$1,170,000",UFA,
Marcus Epps,S,30.1,7,PHI,"$1,170,000",UFA,"$3,117,698"
Terrell Burgess,S,27.3,5,NO,"$1,170,000",UFA,"$2,497,331"
Mike Edwards,S,29.8,7,KC,"$1,170,000",UFA,"$1,212,687"
Chris Lammons,CB,30.1,6,IND,"$1,170,000",UFA,"$1,620,768"
Myles Bryant,CB,28.2,6,HOU,"$1,170,000",UFA,"$2,594,452"
Corey Ballentine,CB,29.9,7,DAL,"$1,170,000",UFA,
Joe Bachie,LB,28,6,TEN,"$1,170,000",UFA,"$1,065,014"
Curtis Robinson,LB,27.8,4,SF,"$1,170,000",UFA,"$1,247,033"
Mykal Walker,LB,28.5,6,NYJ,"$1,170,000",UFA,"$2,234,199"
Caleb Johnson,LB,27.6,5,MIA,"$1,170,000",UFA,
Krys Barnes,LB,27.9,6,CAR,"$1,170,000",UFA,"$2,236,427"
Troy Reeder,LB,31.5,7,LAR,"$1,170,000",UFA,"$1,051,000"
Devin White,LB,28,7,LV,"$1,170,000",UFA,"$2,812,086"
Josh Woods,LB,29.7,6,ATL,"$1,170,000",UFA,
John Wolford,QB,30.4,5,MIN,"$1,170,000",UFA,
Easton Stick,QB,30.5,7,ATL,"$1,170,000",UFA,
Brett Rypien,QB,29.7,6,MIN,"$1,170,000",UFA,
Khalil Herbert,RB,27.8,5,NYJ,"$1,170,000",UFA,"$1,413,167"
Trayveon Williams,RB,28.3,7,CLE,"$1,170,000",UFA,"$1,434,126"
Michael Carter,RB,26.8,4,ARI,"$1,170,000",UFA,"$3,103,494"
Salvon Ahmed,RB,27.2,5,IND,"$1,170,000",UFA,
James Proche,WR,29.4,6,TEN,"$1,170,000",UFA,"$1,264,764"
Tyler Johnson,WR,27.5,5,NYJ,"$1,170,000",UFA,"$2,160,505"
Cedrick Wilson,WR,30.2,8,MIA,"$1,170,000",UFA,"$1,168,127"
Gabriel Davis,WR,26.9,6,BUF,"$1,170,000",UFA,"$1,599,890"
Trent Taylor,WR,31.8,7,SF,"$1,170,000",UFA,"$2,491,648"
Harrison Bryant,TE,27.8,6,HOU,"$1,170,000",UFA,"$1,471,201"
