projection_error_sigma,total_sigma,decimal_odds,breakeven_prob,projection_minus_line,p_over,edge_prob,ev_per_1_unit,ev_percent
0,68.488252,1.9,0.5263157894736842,12,0.5695436809692986,0.04322789149561446,0.08213299384166739,8.213299384166739
0,68.488252,1.9,0.5263157894736842,13,0.5752723912558668,0.04895660178218264,0.09301754338614687,9.301754338614687
0,68.488252,1.9,0.5263157894736842,14,0.5809852468192658,0.054669457345581596,0.10387196895660489,10.38719689566049
0,68.488252,1.9,0.5263157894736842,15,0.5866810771341253,0.060365287660441136,0.11469404655483806,11.469404655483807
0,68.488252,1.9,0.5263157894736842,16,0.5923587224109577,0.06604293293727348,0.1254815725808195,12.548157258081948
0,68.488252,1.9,0.5263157894736842,17,0.5980170343035403,0.07170124482985607,0.13623236517672643,13.623236517672643
0,68.488252,1.9,0.5263157894736842,18,0.603654876604302,0.07733908713061777,0.14694426554817364,14.694426554817364
0,68.488252,1.9,0.5263157894736842,19,0.6092711259270067,0.08295533645332254,0.15761513926131276,15.761513926131276
0,68.488252,1.9,0.5263157894736842,20,0.614864672376058,0.08854888290237384,0.16824287751451017,16.824287751451017
0,68.488252,1.9,0.5263157894736842,21,0.6204344202017582,0.09411863072807403,0.17882539838334055,17.882539838334054
0,68.488252,1.9,0.5263157894736842,22,0.6259792884408845,0.09966349896720028,0.18936064803768038,18.936064803768037
0,68.488252,1.9,0.5263157894736842,23,0.6314982115419572,0.105182422068273,0.1998466019297186,19.98466019297186
0,68.488252,1.9,0.5263157894736842,24,0.6369901399746066,0.11067435050092245,0.21028126595175256,21.028126595175255
0,68.488252,1.9,0.5263157894736842,25,0.6424540408224595,0.11613825134877531,0.220662677562673,22.0662677562673
0,68.488252,1.9,0.5263157894736842,26,0.6478888983589953,0.12157310888531114,0.23098890688209106,23.098890688209107
0,68.488252,1.9,0.5263157894736842,27,0.6532937146058462,0.126977925132162,0.24125805775110765,24.125805775110763
0,68.488252,1.9,0.5263157894736842,28,0.6586675098730354,0.13235172039935117,0.25146826875876716,25.146826875876716
0,68.488252,1.9,0.5263157894736842,29,0.6640093232806821,0.1376935338069979,0.26161771423329583,26.161771423329583
0,68.488252,1.9,0.5263157894736842,30,0.6693182132617195,0.1430024237880353,0.2717046051972669,27.170460519726692
0,68.488252,1.9,0.5263157894736842,31,0.6745932580452039,0.1482774685715197,0.28172719028588733,28.172719028588734
0,68.488252,1.9,0.5263157894736842,32,0.6798335561198192,0.15351776664613503,0.29168375662765644,29.168375662765644
0,68.488252,1.9,0.5263157894736842,33,0.6850382266772079,0.15872243720352375,0.30157263068669504,30.157263068669504
0,68.488252,1.9,0.5263157894736842,34,0.6902064100347889,0.1638906205611047,0.31139217906609884,31.139217906609883
0,68.488252,1.9,0.5263157894736842,35,0.6953372680377502,0.16902147856406602,0.3211408092717253,32.11408092717253
0,68.488252,1.9,0.5263157894736842,36,0.7004299844399333,0.17411419496624914,0.3308169704358732,33.08169704358732
0,68.488252,1.9,0.5263157894736842,37,0.7054837652633545,0.17916797578967036,0.3404191540003736,34.04191540003736
0,68.488252,1.9,0.5263157894736842,38,0.7104978391361388,0.18418204966245466,0.34994589435866374,34.994589435866374
0,68.488252,1.9,0.5263157894736842,39,0.71547145760867,0.18915566813498585,0.359395769456473,35.9395769456473
0,68.488252,1.9,0.5263157894736842,40,0.72040389544779,0.19408810597410586,0.368767401350801,36.8767401350801
0,68.488252,1.91,0.5235602094240838,0,0.5,-0.023560209424083767,-0.04500000000000004,-4.5000000000000036
0,68.488252,1.91,0.5235602094240838,1,0.5058247669357622,-0.017735442488321596,-0.03387469515269431,-3.387469515269431
0,68.488252,1.91,0.5235602094240838,2,0.5116482922409993,-0.011911917183084486,-0.022751761819691407,-2.2751761819691407
0,68.488252,1.91,0.5235602094240838,3,0.5174693350791425,-0.006090874344941266,-0.011633569998837856,-1.1633569998837856
0,68.488252,1.91,0.5235602094240838,4,0.5232866562006897,-0.00027355322339406296,-0.0005224866566826969,-0.05224866566826969
0,68.488252,1.91,0.5235602094240838,5,0.5290990187346243,0.005538809310540516,0.01057912578313236,1.057912578313236
0,68.488252,1.91,0.5235602094240838,6,0.5349051889773018,0.011344979553218004,0.021668910946646358,2.166891094664636
0,68.488252,1.91,0.5235602094240838,7,0.5407039371779638,0.017143727753880067,0.032744520009910905,3.2744520009910905
0,68.488252,1.91,0.5235602094240838,8,0.5464940383200472,0.022933828895963404,0.04380361319129006,4.380361319129006
0,68.488252,1.91,0.5235602094240838,9,0.5522742728974601,0.02871406347337635,0.05484386123414875,5.484386123414875
0,68.488252,1.91,0.5235602094240838,10,0.5580434276850068,0.03448321826092304,0.06586294687836292,6.586294687836292
0,68.488252,1.91,0.5235602094240838,11,0.5638002965021484,0.04024008707806459,0.07685856631910337,7.685856631910337
0,68.488252,1.91,0.5235602094240838,12,0.5695436809692986,0.04598347154521487,0.08782843065136037,8.782843065136037
0,68.488252,1.91,0.5235602094240838,13,0.5752723912558668,0.051712181831783055,0.09877026729870564,9.877026729870565
0,68.488252,1.91,0.5235602094240838,14,0.5809852468192658,0.05742503739518201,0.10968182142479754,10.968182142479755
0,68.488252,1.91,0.5235602094240838,15,0.5866810771341253,0.06312086771004155,0.12056085732617927,12.056085732617927
0,68.488252,1.91,0.5235602094240838,16,0.5923587224109577,0.0687985129868739,0.13140515980492906,13.140515980492907
0,68.488252,1.91,0.5235602094240838,17,0.5980170343035403,0.07445682487945648,0.14221253551976187,14.221253551976186
0,68.488252,1.91,0.5235602094240838,18,0.603654876604302,0.08009466718021818,0.15298081431421673,15.298081431421673
0,68.488252,1.91,0.5235602094240838,19,0.6092711259270067,0.08571091650292295,0.1637078505205828,16.370785052058277
0,68.488252,1.91,0.5235602094240838,20,0.614864672376058,0.09130446295197425,0.17439152423827076,17.439152423827075
0,68.488252,1.91,0.5235602094240838,21,0.6204344202017582,0.09687421077767444,0.1850297425853581,18.502974258535808
0,68.488252,1.91,0.5235602094240838,22,0.6259792884408845,0.1024190790168007,0.1956204409220893,19.56204409220893
0,68.488252,1.91,0.5235602094240838,23,0.6314982115419572,0.10793800211787341,0.20616158404513818,20.61615840451382
0,68.488252,1.91,0.5235602094240838,24,0.6369901399746066,0.11342993055052286,0.21665116735149859,21.66511673514986
0,68.488252,1.91,0.5235602094240838,25,0.6424540408224595,0.11889383139837573,0.2270872179708976,22.70872179708976
