player,player_norm,player_id,season,week,team,opponent,game_id,market_key,line,over_price,under_price,projection,projection_minus_line,edge,recommended_side,recommended_prob,recommended_ev_percent,recommendation
Nick Chubb,nick chubb,17246,2024,13,FA,,e73de417d2fd01292ed12cea2a906903,player_rush_yds,51.5,-110.0,-110,65.05,13.549999999999997,13.549999999999997,over,0.63595,21.40863636363637,over
Raheem Mostert,raheem mostert,14338,2024,9,LV,,7c2d09c53f3c271b20f53db0b21f1498,player_rush_yds,27.5,-110.0,-110,39.08,11.579999999999998,11.579999999999998,over,0.63515,21.255909090909096,over
Gus Edwards,gus edwards,17687,2024,15,FA,,531a7692ed7474109ad7d6e331751234,player_rush_yds,35.5,-110.0,-110,47.1,11.600000000000001,11.600000000000001,over,0.6344,21.112727272727273,over
Mike Boone,mike boone,17813,2024,17,FA,,cb4060acc9d027ca0069619ef9983415,player_rush_yds,33.5,-110.0,-110,45.29,11.79,11.79,over,0.6336,20.96000000000001,over
Zamir White,zamir white,20095,2024,8,LV,Kansas City Chiefs,ccc621108fb48382b825128007dc8120,player_rush_yds,13.5,-110.0,-110,22.09,8.59,8.59,over,0.63355,20.950454545454544,over
Rico Dowdle,rico dowdle,19647,2024,6,PIT,,d4d2902446e120ea6f1afafdc0b3d55d,player_rush_yds,41.5,-110.0,-110,55.13,13.630000000000003,13.630000000000003,over,0.6334,20.921818181818175,over
Joe Mixon,joe mixon,16420,2024,6,FA,,febb2d674e85a32c8636ff900fffb5d2,player_rush_yds,52.5,-110.0,-110,66.05,13.549999999999997,13.549999999999997,over,0.6331,20.864545454545457,over
Bucky Irving,bucky irving,25981,2024,8,TB,Atlanta Falcons,9693ad2122e496b05f7efd56f0ef03d0,player_rush_yds,30.5,-110.0,-110,42.28,11.780000000000001,11.780000000000001,over,0.63285,20.816818181818185,over
Javonte Williams,javonte williams,22739,2024,4,DAL,,701d98795b391636de6d0860c6782f2d,player_rush_yds,28.5,-110.0,-110,39.9,11.399999999999999,11.399999999999999,over,0.63285,20.816818181818185,over
Rachaad White,rachaad white,23891,2024,17,WAS,,cb4060acc9d027ca0069619ef9983415,player_rush_yds,32.5,-110.0,-110,44.19,11.689999999999998,11.689999999999998,over,0.6325,20.74999999999999,over
Kendre Miller,kendre miller,24360,2024,8,NO,Los Angeles Chargers,70c540bd6e70676319e44a7dd02cbd38,player_rush_yds,10.5,-105.0,-115,17.96,7.460000000000001,7.460000000000001,over,0.6165,20.364285714285725,over
Jaylen Warren,jaylen warren,24209,2024,11,PIT,Baltimore Ravens,1e5feffbcc2b9c122727b45963203298,player_rush_yds,21.5,-110.0,-110,32.49,10.990000000000002,10.990000000000002,over,0.63045,20.35863636363636,over
Zack Moss,zack moss,19263,2024,3,FA,,8e047915fdc9b7dc77d2276e740f55d2,player_rush_yds,48.5,-110.0,-110,62.45,13.950000000000003,13.950000000000003,over,0.6304,20.349090909090904,over
Kareem Hunt,kareem hunt,16425,2024,7,FA,,a0b429ad5863438f4550ced4f368d2e2,player_rush_yds,52.5,-110.0,-110,64.67,12.170000000000002,12.170000000000002,over,0.62965,20.205909090909103,over
Tyler Allgeier,tyler allgeier,24172,2024,2,ARI,,2cefb0f9bcf18ed3f64396174ece14ad,player_rush_yds,17.5,-110.0,-110,25.87,8.370000000000001,8.370000000000001,over,0.62865,20.015000000000015,over
De'Von Achane,devon achane,23136,2024,15,MIA,Houston Texans,79eb6a96467e443fcd884f1aab38fb40,player_rush_yds,47.5,-110.0,-110,61.06,13.560000000000002,13.560000000000002,over,0.6284,19.96727272727272,over
Khalil Herbert,khalil herbert,22763,2024,1,FA,,b5b9d07cdd5c7bd14e943ccd7973e6a2,player_rush_yds,27.5,-110.0,-110,38.24,10.740000000000002,10.740000000000002,over,0.62705,19.709545454545463,over
J.K. Dobbins,jk dobbins,19245,2024,11,DEN,,a2b3fd60eede2230285512b8c3b4eed3,player_rush_yds,52.5,-110.0,-110,65.35,12.849999999999994,12.849999999999994,over,0.62615,19.537727272727277,over
Josh Jacobs,josh jacobs,18269,2024,4,GB,Minnesota Vikings,1f9f768db4ab5e36fad5080f8a338725,player_rush_yds,58.5,-110.0,-110,71.63,13.129999999999995,13.129999999999995,over,0.62615,19.537727272727277,over
Deebo Samuel,deebo samuel,18244,2024,14,FA,,57e91ca052d9484f67f83308f3fb7f65,player_rush_yds,12.5,-110.0,-110,8.65,-3.8499999999999996,-3.8499999999999996,under,0.62525,19.365909090909096,under
Carson Steele,carson steele,26372,2024,5,PHI,,5e0d59f75b7f9056461e2970aca2a6cb,player_rush_yds,13.5,-110.0,-110,21.53,8.030000000000001,8.030000000000001,over,0.62495,19.308636363636367,over
Alexander Mattison,alexander mattison,18621,2024,8,FA,,ccc621108fb48382b825128007dc8120,player_rush_yds,40.5,-110.0,-110,52.86,12.36,12.36,over,0.62445,19.213181818181813,over
Tyrone Tracy Jr.,tyrone tracy,22980,2024,8,NYG,Pittsburgh Steelers,86278ec4bbdcadd945d79df6c695c2ec,player_rush_yds,31.5,-110.0,-110,42.23,10.729999999999997,10.729999999999997,over,0.62355,19.041363636363652,over
Kenneth Walker III,kenneth walker,23021,2024,16,KC,,87ed34522672eabe6cb5b85c34c4e8ce,player_rush_yds,46.5,-110.0,-110,59.61,13.11,13.11,over,0.62295,18.926818181818184,over
Jaylen Warren,jaylen warren,24209,2024,17,PIT,Kansas City Chiefs,ce94e5673c8b7a0834f1948f1c5f52c7,player_rush_yds,33.5,-110.0,-110,43.89,10.39,10.39,over,0.62255,18.850454545454564,over
Jaylen Warren,jaylen warren,24209,2024,12,PIT,Cleveland Browns,3544bdfabe61cc6d4389984a5ca83955,player_rush_yds,31.5,-110.0,-110,41.96,10.46,10.46,over,0.62225,18.793181818181814,over
D'Andre Swift,dandre swift,19210,2024,17,CHI,Seattle Seahawks,1cc92f3601760bad475efd70d52ca482,player_rush_yds,53.5,-110.0,-110,66.58,13.079999999999998,13.079999999999998,over,0.6218,18.707272727272738,over
D'Andre Swift,dandre swift,19210,2024,4,CHI,Los Angeles Rams,e603ee3c4035a8558b9bcb6aded87ff4,player_rush_yds,35.5,-110.0,-110,45.49,9.990000000000002,9.990000000000002,over,0.6217,18.688181818181825,over
Deebo Samuel,deebo samuel,18244,2024,17,FA,,987f7eb725e6a3937511b6c60dee5f18,player_rush_yds,10.5,-110.0,-110,14.43,3.9299999999999997,3.9299999999999997,over,0.6208,18.516363636363643,over
Gus Edwards,gus edwards,17687,2024,13,FA,,45b543405582d30cef04650884f45c6d,player_rush_yds,45.5,-110.0,-110,58.37,12.869999999999997,12.869999999999997,over,0.62055,18.46863636363638,over
D'Andre Swift,dandre swift,19210,2024,15,CHI,Minnesota Vikings,307cc09543c511d894a76fef99e429bb,player_rush_yds,49.5,-110.0,-110,61.41,11.909999999999997,11.909999999999997,over,0.61985,18.33500000000001,over
Kyren Williams,kyren williams,23059,2024,8,LAR,Minnesota Vikings,1f22f5d9de70779ac521b9c1de59162f,player_rush_yds,69.5,-110.0,-110,83.37,13.870000000000005,13.870000000000005,over,0.61975,18.3159090909091,over
Breece Hall,breece hall,22982,2024,16,NYJ,Los Angeles Rams,d9ace22fff68cd1916da62a70491e424,player_rush_yds,47.5,-110.0,-110,60.07,12.57,12.57,over,0.61885,18.144090909090917,over
D'Andre Swift,dandre swift,19210,2024,14,CHI,San Francisco 49ers,57e91ca052d9484f67f83308f3fb7f65,player_rush_yds,54.5,-110.0,-110,66.52,12.019999999999996,12.019999999999996,over,0.6187,18.115454545454558,over
Ray Davis,ray davis,26191,2024,5,BUF,Houston Texans,2eb8e0798cb1b1f9d0f0d414253b4e37,player_rush_yds,12.5,-110.0,-110,20.28,7.780000000000001,7.780000000000001,over,0.6181,18.00090909090909,over
Jerome Ford,jerome ford,22921,2024,11,WAS,,ca63340028583e516e8053ee36318425,player_rush_yds,13.5,-110.0,-110,21.27,7.77,7.77,over,0.6181,18.00090909090909,over
Breece Hall,breece hall,22982,2024,3,NYJ,New England Patriots,ff0f310a02a527f105b5b37dbd61c502,player_rush_yds,63.5,-110.0,-110,77.16,13.659999999999997,13.659999999999997,over,0.61795,17.97227272727273,over
