position,line_bucket,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
RB,80+,True,high_total_47_plus,1.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,<20,False,low_total_<42,1.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,<20,True,low_total_<42,2.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,<20,True,high_total_47_plus,1.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,20-40,False,mid_total_42_47,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
TE,20-40,True,mid_total_42_47,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,20-40,True,high_total_47_plus,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
WR,<20,False,low_total_<42,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
WR,<20,False,mid_total_42_47,5.0,0.6,0.4,0.0,-112.4,-108.0,0.13312788906009249,-0.2295025728987993
WR,<20,False,high_total_47_plus,6.0,0.16666666666666666,0.8333333333333334,0.0,-72.33333333333333,-115.33333333333333,-0.6818181818181818,0.5567648314127188
WR,<20,True,mid_total_42_47,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
WR,<20,True,high_total_47_plus,2.0,1.0,0.0,0.0,-4.0,-117.0,0.9645454545454546,-1.0
WR,20-40,False,mid_total_42_47,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
