decimal_odds,breakeven_prob,projection_minus_line,p_over,edge_prob,ev_per_1_unit,ev_percent
1.75,0.5714285714285714,32,0.6798335561198192,0.10840498469124782,0.18970872320968368,18.97087232096837
1.75,0.5714285714285714,33,0.6850382266772079,0.11360965524863653,0.19881689668511382,19.88168966851138
1.75,0.5714285714285714,34,0.6902064100347889,0.11877783860621749,0.2078612175608805,20.78612175608805
1.75,0.5714285714285714,35,0.6953372680377502,0.1239086966091788,0.21684021906606288,21.684021906606286
1.75,0.5714285714285714,36,0.7004299844399333,0.12900141301136192,0.2257524727698833,22.575247276988332
1.75,0.5714285714285714,37,0.7054837652633545,0.13405519383478315,0.23459658921087045,23.459658921087044
1.75,0.5714285714285714,38,0.7104978391361388,0.13906926770756745,0.24337121848824295,24.337121848824296
1.75,0.5714285714285714,39,0.71547145760867,0.14404288618009864,0.25207505081517256,25.207505081517255
1.75,0.5714285714285714,40,0.72040389544779,0.14897532401921865,0.26070681703363263,26.070681703363263
1.8,0.5555555555555556,0,0.5,-0.05555555555555558,-0.09999999999999998,-9.999999999999998
1.8,0.5555555555555556,1,0.5058247669357622,-0.04973078861979341,-0.08951541951562808,-8.951541951562808
1.8,0.5555555555555556,2,0.5116482922409993,-0.0439072633145563,-0.0790330739662013,-7.9033073966201295
1.8,0.5555555555555556,3,0.5174693350791425,-0.03808622047641308,-0.06855519685754347,-6.855519685754347
1.8,0.5555555555555556,4,0.5232866562006897,-0.032268899354865876,-0.05808401883875852,-5.808401883875852
1.8,0.5555555555555556,5,0.5290990187346243,-0.026456536820931298,-0.04762176627767628,-4.762176627767628
1.8,0.5555555555555556,6,0.5349051889773018,-0.02065036657825381,-0.03717065984085677,-3.717065984085677
1.8,0.5555555555555556,7,0.5407039371779638,-0.014851618377591747,-0.026732913079665077,-2.6732913079665077
1.8,0.5555555555555556,8,0.5464940383200472,-0.00906151723550841,-0.01631073102391506,-1.631073102391506
1.8,0.5555555555555556,9,0.5522742728974601,-0.0032812826580954635,-0.005906308784571768,-0.5906308784571768
1.8,0.5555555555555556,10,0.5580434276850068,0.0024878721294512296,0.004478169833012302,0.4478169833012302
1.8,0.5555555555555556,11,0.5638002965021484,0.008244740946592777,0.014840533703867065,1.4840533703867065
1.8,0.5555555555555556,12,0.5695436809692986,0.013988125413743058,0.02517862574473756,2.5178625744737557
1.8,0.5555555555555556,13,0.5752723912558668,0.01971683570031124,0.035490304260560324,3.5490304260560324
1.8,0.5555555555555556,14,0.5809852468192658,0.025429691263710197,0.04577344427467844,4.577344427467844
1.8,0.5555555555555556,15,0.5866810771341253,0.031125521578569737,0.05602593884142559,5.602593884142559
1.8,0.5555555555555556,16,0.5923587224109577,0.03680316685540208,0.06624570033972382,6.6245700339723825
1.8,0.5555555555555556,17,0.5980170343035403,0.04246147874798467,0.07643066174637247,7.643066174637248
1.8,0.5555555555555556,18,0.603654876604302,0.04809932104874637,0.08657877788774354,8.657877788774353
1.8,0.5555555555555556,19,0.6092711259270067,0.05371557037145114,0.09668802666861209,9.66880266686121
1.8,0.5555555555555556,20,0.614864672376058,0.05930911682050244,0.10675641027690447,10.675641027690446
1.8,0.5555555555555556,21,0.6204344202017582,0.06487886464620263,0.1167819563631648,11.67819563631648
1.8,0.5555555555555556,22,0.6259792884408845,0.07042373288532888,0.12676271919359205,12.676271919359205
1.8,0.5555555555555556,23,0.6314982115419572,0.0759426559864016,0.13669678077552294,13.669678077552295
1.8,0.5555555555555556,24,0.6369901399746066,0.08143458441905105,0.14658225195429198,14.658225195429198
1.8,0.5555555555555556,25,0.6424540408224595,0.08689848526690391,0.1564172734804271,15.64172734804271
1.8,0.5555555555555556,26,0.6478888983589953,0.09233334280343974,0.16620001704619158,16.62000170461916
1.8,0.5555555555555556,27,0.6532937146058462,0.0977381590502906,0.17592868629052316,17.592868629052315
1.8,0.5555555555555556,28,0.6586675098730354,0.10311195431747977,0.1856015177714636,18.56015177714636
1.8,0.5555555555555556,29,0.6640093232806821,0.1084537677251265,0.19521678190522773,19.521678190522774
1.8,0.5555555555555556,30,0.6693182132617195,0.1137626577061639,0.2047727838710951,20.47727838710951
1.8,0.5555555555555556,31,0.6745932580452039,0.11903770248964829,0.21426786448136703,21.426786448136703
1.8,0.5555555555555556,32,0.6798335561198192,0.12427800056426364,0.22370040101567457,22.370040101567458
1.8,0.5555555555555556,33,0.6850382266772079,0.12948267112165235,0.23306880801897434,23.306880801897435
1.8,0.5555555555555556,34,0.6902064100347889,0.1346508544792333,0.24237153806262002,24.237153806262
1.8,0.5555555555555556,35,0.6953372680377502,0.13978171248219462,0.2516070824679504,25.16070824679504
1.8,0.5555555555555556,36,0.7004299844399333,0.14487442888437774,0.26077397199188,26.077397199188002
1.8,0.5555555555555556,37,0.7054837652633545,0.14992820970779897,0.2698707774740382,26.98707774740382
1.8,0.5555555555555556,38,0.7104978391361388,0.15494228358058326,0.2788961104450499,27.889611044504992
1.8,0.5555555555555556,39,0.71547145760867,0.15991590205311446,0.28784862369560604,28.784862369560603
1.8,0.5555555555555556,40,0.72040389544779,0.16484833989223446,0.2967270118060221,29.67270118060221
1.83,0.5464480874316939,0,0.5,-0.04644808743169393,-0.08499999999999996,-8.499999999999996
1.83,0.5464480874316939,1,0.5058247669357622,-0.04062332049593176,-0.07434067650755521,-7.434067650755521
1.83,0.5464480874316939,2,0.5116482922409993,-0.03479979519069465,-0.0636836251989713,-6.368362519897131
1.83,0.5464480874316939,3,0.5174693350791425,-0.02897875235255143,-0.0530311168051692,-5.30311168051692
1.83,0.5464480874316939,4,0.5232866562006897,-0.023161431231004226,-0.0423854191527378,-4.23854191527378
1.83,0.5464480874316939,5,0.5290990187346243,-0.017349068697069647,-0.031748795715637546,-3.1748795715637543
1.83,0.5464480874316939,6,0.5349051889773018,-0.011542898454392159,-0.021123504171537744,-2.1123504171537744
1.83,0.5464480874316939,7,0.5407039371779638,-0.005744150253730096,-0.010511794964326138,-1.0511794964326138
1.83,0.5464480874316939,8,0.5464940383200472,4.5950888353241126e-05,8.409012568638685e-05,0.008409012568638685
1.83,0.5464480874316939,9,0.5522742728974601,0.005826185465766187,0.01066191940235206,1.066191940235206
1.83,0.5464480874316939,10,0.5580434276850068,0.01159534025331288,0.0212194726635625,2.12194726635625
1.83,0.5464480874316939,11,0.5638002965021484,0.017352209070454427,0.03175454259893151,3.175454259893151
1.83,0.5464480874316939,12,0.5695436809692986,0.02309559353760471,0.04226493617381655,4.226493617381655
1.83,0.5464480874316939,13,0.5752723912558668,0.028824303824172892,0.052748475998236344,5.274847599823635
1.83,0.5464480874316939,14,0.5809852468192658,0.03453715938757185,0.06320300167925641,6.320300167925641
1.83,0.5464480874316939,15,0.5866810771341253,0.04023298970243139,0.0736263711554494,7.36263711554494
