position,line_bucket,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
TE,30-40,True,low_total_<42,7.0,0.7142857142857143,0.2857142857142857,0.0,-110.0,-110.0,0.3636363636363637,-0.45454545454545453
TE,30-40,True,mid_total_42_47,15.0,0.4666666666666667,0.5333333333333333,0.0,-110.0,-110.0,-0.10909090909090906,0.018181818181818226
TE,30-40,True,high_total_47_plus,10.0,0.8,0.2,0.0,-110.0,-110.0,0.5272727272727273,-0.6181818181818182
TE,40-50,False,low_total_<42,6.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
TE,40-50,False,mid_total_42_47,17.0,0.47058823529411764,0.5294117647058824,0.0,-109.70588235294117,-110.29411764705883,-0.10160427807486627,0.008370146477563387
TE,40-50,False,high_total_47_plus,15.0,0.4666666666666667,0.5333333333333333,0.0,-110.0,-110.0,-0.10909090909090906,0.018181818181818226
TE,40-50,True,low_total_<42,7.0,0.42857142857142855,0.5714285714285714,0.0,-110.0,-110.0,-0.1818181818181818,0.09090909090909095
TE,40-50,True,mid_total_42_47,17.0,0.29411764705882354,0.7058823529411765,0.0,-110.0,-110.0,-0.4385026737967914,0.3475935828877006
TE,40-50,True,high_total_47_plus,15.0,0.4,0.6,0.0,-109.86666666666666,-110.13333333333334,-0.23636363636363633,0.1443722943722944
TE,50-60,False,low_total_<42,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
TE,50-60,False,mid_total_42_47,13.0,0.6153846153846154,0.38461538461538464,0.0,-110.0,-110.0,0.17482517482517487,-0.26573426573426573
TE,50-60,False,high_total_47_plus,4.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,50-60,True,low_total_<42,2.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
TE,50-60,True,mid_total_42_47,6.0,0.8333333333333334,0.16666666666666666,0.0,-110.0,-110.0,0.5909090909090909,-0.6818181818181818
TE,50-60,True,high_total_47_plus,2.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
TE,60-75,False,low_total_<42,2.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,60-75,False,mid_total_42_47,4.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
TE,60-75,False,high_total_47_plus,3.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
TE,60-75,True,low_total_<42,1.0,0.0,1.0,0.0,-110.0,-110.0,-1.0,0.9090909090909092
TE,60-75,True,mid_total_42_47,7.0,0.42857142857142855,0.5714285714285714,0.0,-110.0,-110.0,-0.1818181818181818,0.09090909090909095
TE,60-75,True,high_total_47_plus,3.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
WR,<20,False,low_total_<42,25.0,0.6,0.4,0.0,-110.0,-110.0,0.1454545454545455,-0.23636363636363633
WR,<20,False,mid_total_42_47,56.0,0.48214285714285715,0.5178571428571429,0.0,-106.25,-110.21428571428571,-0.08025127046866173,-0.013666216178689421
WR,<20,False,high_total_47_plus,19.0,0.47368421052631576,0.5263157894736842,0.0,-110.0,-110.0,-0.09569377990430618,0.004784688995215353
WR,<20,True,low_total_<42,34.0,0.5294117647058824,0.47058823529411764,0.0,-110.0,-110.0,0.010695187165775444,-0.10160427807486627
WR,<20,True,mid_total_42_47,38.0,0.4473684210526316,0.5526315789473685,0.0,-104.47368421052632,-110.3157894736842,-0.1435406698564593,0.05502392344497612
WR,<20,True,high_total_47_plus,22.0,0.4090909090909091,0.5909090909090909,0.0,-110.0,-110.0,-0.21900826446280988,0.12809917355371905
WR,20-30,False,low_total_<42,26.0,0.6153846153846154,0.38461538461538464,0.0,-110.0,-110.0,0.17482517482517487,-0.26573426573426573
WR,20-30,False,mid_total_42_47,39.0,0.5641025641025641,0.4358974358974359,0.0,-109.87179487179488,-110.12820512820512,0.07692307692307697,-0.1688456471065166
WR,20-30,False,high_total_47_plus,22.0,0.6363636363636364,0.36363636363636365,0.0,-110.0,-110.0,0.2148760330578513,-0.30578512396694213
WR,20-30,True,low_total_<42,42.0,0.5714285714285714,0.42857142857142855,0.0,-110.0,-110.0,0.09090909090909095,-0.1818181818181818
WR,20-30,True,mid_total_42_47,61.0,0.5081967213114754,0.4918032786885246,0.0,-109.91803278688525,-110.08196721311475,-0.029806259314455994,-0.06175079375364475
WR,20-30,True,high_total_47_plus,34.0,0.4117647058823529,0.5882352941176471,0.0,-110.0,-110.0,-0.213903743315508,0.12299465240641716
WR,30-40,False,low_total_<42,34.0,0.5882352941176471,0.4117647058823529,0.0,-103.82352941176471,-110.3529411764706,0.12299465240641716,-0.21653370737266586
WR,30-40,False,mid_total_42_47,51.0,0.39215686274509803,0.6078431372549019,0.0,-109.90196078431373,-110.09803921568627,-0.25048807401748574,0.16042780748663105
WR,30-40,False,high_total_47_plus,18.0,0.2777777777777778,0.7222222222222222,0.0,-110.0,-110.0,-0.4696969696969696,0.37878787878787884
WR,30-40,True,low_total_<42,40.0,0.55,0.45,0.0,-110.0,-110.0,0.050000000000000044,-0.14090909090909087
WR,30-40,True,mid_total_42_47,53.0,0.5660377358490566,0.4339622641509434,0.0,-110.0,-110.0,0.08061749571183538,-0.17152658662092615
WR,30-40,True,high_total_47_plus,26.0,0.38461538461538464,0.6153846153846154,0.0,-110.46153846153847,-101.92307692307692,-0.26917344950131833,0.17482517482517487
WR,40-50,False,low_total_<42,29.0,0.5172413793103449,0.4827586206896552,0.0,-110.0,-110.0,-0.012539184952978014,-0.07836990595611282
WR,40-50,False,mid_total_42_47,47.0,0.44680851063829785,0.5531914893617021,0.0,-110.0,-110.0,-0.14700193423597674,0.056092843326885924
WR,40-50,False,high_total_47_plus,20.0,0.7,0.3,0.0,-110.0,-110.0,0.3363636363636364,-0.42727272727272714
WR,40-50,True,low_total_<42,29.0,0.5862068965517241,0.41379310344827586,0.0,-110.0,-110.0,0.11912225705329159,-0.2100313479623824
WR,40-50,True,mid_total_42_47,54.0,0.4444444444444444,0.5555555555555556,0.0,-110.0,-110.0,-0.1515151515151514,0.06060606060606065
WR,40-50,True,high_total_47_plus,18.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
WR,50-60,False,low_total_<42,28.0,0.4642857142857143,0.5357142857142857,0.0,-110.0,-110.0,-0.1136363636363636,0.02272727272727277
WR,50-60,False,mid_total_42_47,45.0,0.4444444444444444,0.5555555555555556,0.0,-110.0,-110.0,-0.1515151515151515,0.06060606060606065
WR,50-60,False,high_total_47_plus,29.0,0.4482758620689655,0.5517241379310345,0.0,-110.13793103448276,-109.86206896551724,-0.14420062695924762,0.05447447802685283
WR,50-60,True,low_total_<42,13.0,0.7692307692307693,0.23076923076923078,0.0,-110.0,-110.0,0.4685314685314686,-0.5594405594405594
WR,50-60,True,mid_total_42_47,37.0,0.5675675675675675,0.43243243243243246,0.0,-110.0,-110.0,0.08353808353808359,-0.17444717444717442
WR,50-60,True,high_total_47_plus,23.0,0.5652173913043478,0.43478260869565216,0.0,-110.0,-110.0,0.07905138339920953,-0.16996047430830036
