player_norm,team,player,source_count,sources,pass_att_mean,pass_att_median,pass_att_std_sources,pass_att_min,pass_att_max,pass_yds_mean,pass_yds_median,pass_yds_std_sources,pass_yds_min,pass_yds_max,pass_td_mean,pass_td_median,pass_td_std_sources,pass_td_min,pass_td_max,int_mean,int_median,int_std_sources,int_min,int_max,rush_att_mean,rush_att_median,rush_att_std_sources,rush_att_min,rush_att_max,rush_yds_mean,rush_yds_median,rush_yds_std_sources,rush_yds_min,rush_yds_max,rush_td_mean,rush_td_median,rush_td_std_sources,rush_td_min,rush_td_max,fpts_mean,fpts_median,fpts_std_sources,fpts_min,fpts_max,pass_yds_range_sources,pass_yds_cv_sources,low_source_count
trevor lawrence,JAC,Trevor Lawrence,3,"ESPN_CBS,FantasyPros,NFL_FFToday",31.933333333333334,32.0,1.10151410945722,30.8,33.0,243.1,241.8,6.843244844370249,237.0,250.5,1.5666666666666667,1.5,0.11547005383792512,1.5,1.7,0.8333333333333334,0.8,0.05773502691896257,0.8,0.9,3.3333333333333335,3.5,0.2886751345948129,3.0,3.5,17.166666666666668,17.5,1.0408329997330663,16.0,18.0,0.2333333333333333,0.2,0.05773502691896256,0.2,0.3,17.7,17.5,1.2124355652982135,16.6,19.0,13.5,0.028149917089141295,False
jj mccarthy,MIN,J.J. McCarthy,3,"ESPN_CBS,FantasyPros,NFL_FFToday",33.233333333333334,33.1,0.709459888459758,32.6,34.0,242.86666666666665,242.2,2.565800719723442,240.7,245.7,1.4333333333333333,1.4,0.1527525231651947,1.3,1.6,0.9333333333333332,0.9,0.05773502691896257,0.9,1.0,3.1999999999999997,3.3,0.17320508075688762,3.0,3.3,14.766666666666666,15.0,0.5859465277082315,14.1,15.2,0.10000000000000002,0.1,1.6996749443881478e-17,0.1,0.1,16.2,16.2,0.6999999999999993,15.5,16.9,5.0,0.010564647487195069,False
matthew stafford,LAR,Matthew Stafford,3,"ESPN_CBS,FantasyPros,NFL_FFToday",32.666666666666664,32.6,0.3055050463303898,32.4,33.0,241.20000000000002,238.5,4.6765371804359654,238.5,246.6,1.5333333333333332,1.5,0.05773502691896263,1.5,1.6,0.5666666666666667,0.6,0.15275252316519464,0.4,0.7,1.5333333333333332,1.8,0.46188021535170065,1.0,1.8,2.8666666666666667,2.8,1.3012814197295424,1.6,4.2,0.0,0.0,0.0,0.0,0.0,15.4,15.4,0.20000000000000018,15.2,15.6,8.099999999999994,0.01938862844293518,False
josh allen,BUF,Josh Allen,3,"ESPN_CBS,FantasyPros,NFL_FFToday",32.666666666666664,32.5,1.2583057392117918,31.5,34.0,239.0,240.7,10.355191934483878,227.9,248.4,1.5666666666666667,1.6,0.05773502691896263,1.5,1.6,0.4666666666666666,0.5,0.15275252316519466,0.3,0.6,7.7,7.3,1.1532562594670797,6.8,9.0,33.6,33.8,3.803945320322046,29.7,37.3,0.5333333333333333,0.5,0.05773502691896256,0.5,0.6,21.5,21.6,0.45825756949558355,21.0,21.9,20.5,0.043327162905790285,False
jordan love,GB,Jordan Love,3,"ESPN_CBS,FantasyPros,NFL_FFToday",31.46666666666667,31.3,0.4725815626252602,31.1,32.0,238.53333333333333,238.3,3.1564748269760314,235.5,241.8,1.5666666666666667,1.6,0.05773502691896263,1.5,1.6,0.8333333333333334,0.8,0.05773502691896257,0.8,0.9,2.3333333333333335,2.5,0.2886751345948129,2.0,2.5,10.033333333333333,10.2,0.7637626158259734,9.2,10.7,0.13333333333333333,0.1,0.05773502691896258,0.1,0.2,16.5,16.5,0.10000000000000142,16.4,16.6,6.300000000000011,0.013232845836959327,False
lamar jackson,BAL,Lamar Jackson,3,"ESPN_CBS,FantasyPros,NFL_FFToday",28.900000000000002,29.0,0.3605551275463986,28.5,29.2,237.63333333333333,235.9,5.508478313775361,233.2,243.8,1.8333333333333333,1.8,0.057735026918962505,1.8,1.9,0.4000000000000001,0.4,6.798699777552591e-17,0.4,0.4,8.299999999999999,8.0,0.6082762530298219,7.9,9.0,52.9,51.6,2.515949125081824,51.3,55.8,0.2333333333333333,0.2,0.05773502691896256,0.2,0.3,22.7,22.8,0.26457513110645947,22.4,22.9,10.600000000000023,0.02318057924158519,False
michael penix,ATL,Michael Penix Jr.,3,"ESPN_CBS,FantasyPros,NFL_FFToday",32.46666666666667,32.3,0.4725815626252608,32.1,33.0,235.9,234.8,1.9924858845171214,234.7,238.2,1.3,1.3,0.09999999999999998,1.2,1.4,0.8666666666666667,0.9,0.05773502691896256,0.8,0.9,3.033333333333333,3.0,0.1527525231651948,2.9,3.2,10.1,10.9,1.5620499351813304,8.3,11.1,0.16666666666666666,0.2,0.05773502691896258,0.1,0.2,15.333333333333334,15.5,0.3785938897200179,14.9,15.6,3.5,0.008446315746151426,False
kyler murray,MIN,Kyler Murray,3,"ESPN_CBS,FantasyPros,NFL_FFToday",32.86666666666667,32.4,0.9865765724632488,32.2,34.0,235.5666666666667,236.0,1.0214368964029716,234.4,236.3,1.3999999999999997,1.4,2.7194799110210365e-16,1.4,1.4,0.7999999999999999,0.8,0.10000000000000003,0.7,0.9,5.533333333333334,5.5,0.45092497528228964,5.1,6.0,36.199999999999996,36.1,0.5567764362829992,35.7,36.8,0.26666666666666666,0.3,0.05773502691896257,0.2,0.3,18.966666666666665,18.9,0.6027713773341723,18.4,19.6,1.9000000000000057,0.0043360841788721025,False
sam darnold,SEA,Sam Darnold,3,"ESPN_CBS,FantasyPros,NFL_FFToday",33.03333333333333,32.6,0.8386497083606079,32.5,34.0,232.79999999999998,230.9,4.557411546042335,229.5,238.0,1.3333333333333333,1.3,0.1527525231651947,1.2,1.5,1.0,1.0,0.0,1.0,1.0,3.6666666666666665,3.6,0.3055050463303894,3.4,4.0,11.666666666666666,11.5,0.7637626158259733,11.0,12.5,0.06666666666666667,0.1,0.05773502691896258,0.0,0.1,14.933333333333332,14.9,0.55075705472861,14.4,15.5,8.5,0.01957651007750144,False
justin herbert,LAC,Justin Herbert,3,"ESPN_CBS,FantasyPros,NFL_FFToday",31.599999999999998,31.8,0.5291502622129183,31.0,32.0,230.26666666666665,231.8,2.830783166074956,227.0,232.0,1.3999999999999997,1.4,2.7194799110210365e-16,1.4,1.4,0.43333333333333335,0.4,0.15275252316519466,0.3,0.6,3.8666666666666667,3.9,0.15275252316519458,3.7,4.0,16.5,16.8,0.8888194417315588,15.5,17.2,0.10000000000000002,0.1,1.6996749443881478e-17,0.1,0.1,16.3,16.5,0.34641016151377524,15.9,16.5,5.0,0.012293499563151228,False
