player,player_norm,team,source,pass_att,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,fpts
Drake Maye,drake maye,NE,FantasyPros,31.0,215.8,1.5,0.8,4.4,30.2,0.2,17.2
Brock Purdy,brock purdy,SF,FantasyPros,31.4,253.1,1.4,0.8,3.4,14.7,0.2,17.2
Dak Prescott,dak prescott,DAL,FantasyPros,36.7,251.0,1.6,0.9,2.5,10.2,0.1,16.7
Jordan Love,jordan love,GB,FantasyPros,31.3,235.5,1.6,0.8,2.5,10.7,0.1,16.5
Justin Fields,justin fields,KC,FantasyPros,28.9,194.8,1.0,0.8,7.4,39.9,0.4,16.5
Justin Herbert,justin herbert,LAC,FantasyPros,31.8,231.8,1.4,0.4,3.9,16.8,0.1,16.5
J.J. McCarthy,jj mccarthy,MIN,FantasyPros,33.1,242.2,1.4,0.9,3.3,15.0,0.1,16.2
Tua Tagovailoa,tua tagovailoa,ATL,FantasyPros,34.5,255.8,1.6,0.8,1.8,5.8,0.0,16.1
Jared Goff,jared goff,DET,FantasyPros,32.9,253.4,1.6,0.8,1.7,4.0,0.0,16.0
C.J. Stroud,cj stroud,HOU,FantasyPros,34.0,250.1,1.3,0.7,3.2,14.3,0.1,16.0
Caleb Williams,caleb williams,CHI,FantasyPros,31.8,217.8,1.3,0.7,5.0,25.9,0.1,15.8
Geno Smith,geno smith,NYJ,FantasyPros,34.0,247.0,1.3,0.8,3.0,12.7,0.1,15.8
Daniel Jones,daniel jones,IND,FantasyPros,30.1,204.0,1.2,0.7,5.8,27.2,0.2,15.8
Bryce Young,bryce young,CAR,FantasyPros,31.5,216.8,1.3,0.7,3.4,18.4,0.2,15.6
Michael Penix Jr.,michael penix,ATL,FantasyPros,32.1,234.7,1.3,0.8,3.2,11.1,0.2,15.5
Matthew Stafford,matthew stafford,LAR,FantasyPros,32.4,238.5,1.5,0.6,1.8,4.2,0.0,15.4
Sam Darnold,sam darnold,SEA,FantasyPros,32.6,229.5,1.3,1.0,3.6,12.5,0.1,14.9
Joe Flacco,joe flacco,CIN,FantasyPros,35.0,250.0,1.5,1.0,1.3,4.1,0.0,14.8
Cam Ward,cam ward,TEN,FantasyPros,31.0,211.9,1.1,0.8,4.1,17.1,0.1,14.1
Spencer Rattler,spencer rattler,NO,FantasyPros,31.5,209.9,1.1,0.8,3.7,19.4,0.1,13.6
Jalen Milroe,jalen milroe,SEA,FantasyPros,0.7,4.5,0.1,0.0,1.8,8.7,0.1,1.9
Mason Rudolph,mason rudolph,PIT,FantasyPros,0.7,5.1,0.0,0.0,1.4,6.3,0.1,1.3
