season,week,game_date,home_team_abbr,away_team_abbr,home_spread,away_spread,game_total
2024,11,2024-11-17,DET,JAX,,,
2024,11,2024-11-17,BUF,KC,,,
2024,11,2024-11-17,NE,LAR,,,
2024,11,2024-11-17,MIA,LV,,,
2024,11,2024-11-17,TEN,MIN,,,
2024,11,2024-11-17,SF,SEA,,,
2024,11,2024-11-18,DAL,HOU,,,
2024,12,2024-11-21,CLE,PIT,,,
2024,12,2024-11-24,SEA,ARI,,,
2024,12,2024-11-24,WAS,DAL,,,
2024,12,2024-11-24,LV,DEN,,,
2024,12,2024-11-24,IND,DET,,,
2024,12,2024-11-24,CAR,KC,,,
2024,12,2024-11-24,CHI,MIN,,,
2024,12,2024-11-24,MIA,NE,,,
2024,12,2024-11-24,LAR,PHI,,,
2024,12,2024-11-24,GB,SF,,,
2024,12,2024-11-24,NYG,TB,,,
2024,12,2024-11-24,HOU,TEN,,,
2024,12,2024-11-25,LAC,BAL,,,
2024,13,2024-11-28,DET,CHI,,,
2024,13,2024-11-28,GB,MIA,,,
2024,13,2024-11-28,DAL,NYG,,,
2024,13,2024-11-29,KC,LV,,,
2024,13,2024-12-01,MIN,ARI,,,
2024,13,2024-12-01,JAX,HOU,,,
2024,13,2024-12-01,NE,IND,,,
2024,13,2024-12-01,ATL,LAC,,,
2024,13,2024-12-01,NO,LAR,,,
2024,13,2024-12-01,BAL,PHI,,,
2024,13,2024-12-01,CIN,PIT,,,
2024,13,2024-12-01,NYJ,SEA,,,
2024,13,2024-12-01,BUF,SF,,,
2024,13,2024-12-01,CAR,TB,,,
2024,13,2024-12-01,WAS,TEN,,,
2024,13,2024-12-02,DEN,CLE,,,
2024,14,2024-12-05,DET,GB,,,
2024,14,2024-12-08,MIN,ATL,,,
2024,14,2024-12-08,LAR,BUF,,,
2024,14,2024-12-08,PHI,CAR,,,
2024,14,2024-12-08,SF,CHI,,,
2024,14,2024-12-08,PIT,CLE,,,
2024,14,2024-12-08,TEN,JAX,,,
2024,14,2024-12-08,KC,LAC,,,
2024,14,2024-12-08,TB,LV,,,
2024,14,2024-12-08,NYG,NO,,,
2024,14,2024-12-08,MIA,NYJ,,,
2024,14,2024-12-08,ARI,SEA,,,
2024,14,2024-12-09,DAL,CIN,,,
2024,15,2024-12-12,SF,LAR,,,
2024,15,2024-12-15,DET,BUF,,,
2024,15,2024-12-15,TEN,CIN,,,
2024,15,2024-12-15,CAR,DAL,,,
2024,15,2024-12-15,DEN,IND,,,
2024,15,2024-12-15,CLE,KC,,,
2024,15,2024-12-15,HOU,MIA,,,
2024,15,2024-12-15,ARI,NE,,,
2024,15,2024-12-15,JAX,NYJ,,,
2024,15,2024-12-15,LAC,TB,,,
2024,15,2024-12-15,NO,WAS,,,
2024,15,2024-12-16,LV,ATL,,,
2024,15,2024-12-16,MIN,CHI,,,
2024,16,2024-12-21,KC,HOU,,,
2024,16,2024-12-22,CAR,ARI,,,
2024,16,2024-12-22,CHI,DET,,,
2024,16,2024-12-22,LV,JAX,,,
2024,16,2024-12-22,NYJ,LAR,,,
2024,16,2024-12-22,SEA,MIN,,,
2024,16,2024-12-22,BUF,NE,,,
2024,16,2024-12-22,ATL,NYG,,,
2024,16,2024-12-22,MIA,SF,,,
2024,16,2024-12-22,DAL,TB,,,
2024,16,2024-12-22,IND,TEN,,,
2024,17,2024-12-25,PIT,KC,,,
2024,17,2024-12-26,CHI,SEA,,,
2024,17,2024-12-29,WAS,ATL,,,
2024,17,2024-12-29,TB,CAR,,,
2024,17,2024-12-29,NYG,IND,,,
2024,17,2024-12-29,NO,LV,,,
2024,17,2024-12-29,BUF,NYJ,,,
2024,17,2024-12-29,JAX,TEN,,,
2024,17,2024-12-30,SF,DET,,,
