season,week,source,scoring,position,player,player_clean,team,fpid,mflid,filename,fp_points_std,fp_points_half,fp_points_ppr,fp_receptions,fp_receiving_yds,fp_receiving_tds,fp_rush_att,fp_rush_yds,fp_rush_tds,fp_pass_att,fp_pass_cmp,fp_pass_yds,fp_pass_tds,fp_pass_int,fp_fumbles,fp_ret_tds,fp_2pt_tds
2024,1,fantasypros_api,STD,RB,Ty Chandler,ty chandler,NO,19471,15723.0,ty-chandler.php,6.37,6.93,7.49,1.12,8.32,0.04,9.3,38.3,0.25,,,,,,0.03,0.0,0.0
2024,1,fantasypros_api,STD,RB,Khalil Herbert,khalil herbert,FA,22763,15271.0,khalil-herbert.php,6.05,6.59,7.13,1.08,7.7,0.05,9.71,38.24,0.2,,,,,,0.03,0.0,0.0
2024,1,fantasypros_api,STD,RB,Blake Corum,blake corum,LAR,23013,16593.0,blake-corum.php,5.97,6.52,7.06,1.09,8.98,0.07,8.4,33.49,0.26,,,,,,0.1,0.0,0.0
2024,1,fantasypros_api,STD,RB,Tyler Allgeier,tyler allgeier,ARI,24172,15712.0,tyler-allgeier.php,5.52,6.07,6.61,1.09,8.9,0.05,7.85,31.37,0.21,,,,,,0.03,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jamaal Williams,jamaal williams,FA,16424,13139.0,jamaal-williams.php,4.82,5.45,6.08,1.26,6.77,0.01,7.67,28.05,0.22,,,,,,0.02,0.0,0.0
2024,1,fantasypros_api,STD,RB,Trey Benson,trey benson,ARI,25388,16594.0,trey-benson.php,5.1,5.58,6.06,0.97,6.94,0.03,7.76,31.82,0.2,,,,,,0.06,0.0,0.0
2024,1,fantasypros_api,STD,RB,Bucky Irving,bucky irving,TB,25981,16598.0,bucky-irving.php,4.83,5.37,5.91,1.09,9.11,0.06,6.91,26.24,0.19,,,,,,0.1,0.0,0.0
2024,1,fantasypros_api,STD,RB,Miles Sanders,miles sanders,FA,18283,14079.0,miles-sanders.php,4.59,5.19,5.79,1.19,7.83,0.01,7.95,28.64,0.17,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Ray Davis,ray davis,BUF,26191,16603.0,ray-davis.php,4.6,5.11,5.63,1.03,8.54,0.07,4.97,23.44,0.18,,,,,,0.05,0.0,0.0
2024,1,fantasypros_api,STD,RB,Justice Hill,justice hill,BAL,18256,14086.0,justice-hill.php,3.87,4.58,5.28,1.41,9.9,0.03,4.88,20.6,0.12,,,,,,0.04,0.0,0.0
2024,1,fantasypros_api,STD,RB,Alexander Mattison,alexander mattison,FA,18621,14223.0,alexander-mattison.php,4.22,4.66,5.1,0.88,6.18,0.05,6.85,25.47,0.15,,,,,,0.06,0.0,0.0
2024,1,fantasypros_api,STD,RB,D'Onta Foreman,donta foreman,FA,16407,13134.0,donta-foreman.php,4.06,4.33,4.59,0.53,3.88,0.02,6.73,25.27,0.18,,,,,,0.02,0.0,0.0
2024,1,fantasypros_api,STD,RB,Samaje Perine,samaje perine,CIN,16423,13133.0,samaje-perine.php,3.19,3.89,4.59,1.4,10.4,0.05,4.07,15.1,0.08,,,,,,0.08,0.0,0.0
2024,1,fantasypros_api,STD,RB,Tyrone Tracy Jr.,tyrone tracy,NYG,22980,16747.0,tyrone-tracy-jr.php,3.56,4.03,4.51,0.95,6.76,0.03,5.92,20.54,0.13,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Kenneth Gainwell,kenneth gainwell,TB,23310,15255.0,kenneth-gainwell.php,3.25,3.86,4.47,1.22,8.38,0.04,4.25,16.85,0.1,,,,,,0.05,0.0,0.0
2024,1,fantasypros_api,STD,RB,Braelon Allen,braelon allen,NYJ,24346,16596.0,braelon-allen.php,3.67,4.03,4.39,0.72,5.16,0.03,5.7,22.32,0.14,,,,,,0.05,0.0,0.0
2024,1,fantasypros_api,STD,RB,Dameon Pierce,dameon pierce,PHI,22947,15717.0,dameon-pierce.php,3.2,3.52,3.84,0.65,4.84,0.01,4.73,19.19,0.13,,,,,,0.02,0.0,0.0
2024,1,fantasypros_api,STD,RB,Emanuel Wilson,emanuel wilson,SEA,25885,16432.0,emanuel-wilson.php,3.01,3.39,3.76,0.75,5.33,0.03,4.06,17.46,0.1,,,,,,0.02,0.0,0.0
2024,1,fantasypros_api,STD,RB,Tank Bigsby,tank bigsby,PHI,22908,16164.0,tank-bigsby.php,2.86,3.08,3.31,0.45,3.05,0.01,5.49,16.95,0.17,,,,,,0.11,0.0,0.0
2024,1,fantasypros_api,STD,RB,Roschon Johnson,roschon johnson,CHI,25322,16175.0,roschon-johnson.php,2.27,2.77,3.27,1.0,6.15,0.0,2.8,10.55,0.1,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Pierre Strong Jr.,pierre strong,GB,24173,15733.0,pierre-strong-jr.php,2.57,2.86,3.16,0.58,4.26,0.02,3.76,15.98,0.1,,,,,,0.07,0.0,0.0
2024,1,fantasypros_api,STD,RB,Audric Estime,audric estime,NO,23054,16595.0,audric-estime.php,2.41,2.7,3.0,0.6,4.65,0.01,3.61,14.33,0.09,,,,,,0.06,0.0,0.0
2024,1,fantasypros_api,STD,RB,Eric Gray,eric gray,NYG,23075,16173.0,eric-gray.php,1.83,2.13,2.43,0.6,4.03,0.01,1.74,9.2,0.07,,,,,,0.01,0.0,0.0
2024,1,fantasypros_api,STD,RB,Ty Johnson,ty johnson,BUF,18406,14095.0,ty-johnson.php,1.75,2.04,2.33,0.57,4.95,0.03,1.54,8.3,0.04,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Emari Demercado,emari demercado,KC,25654,16385.0,emari-demercado.php,1.53,1.9,2.28,0.75,4.89,0.02,1.24,6.76,0.05,,,,,,0.02,0.0,0.0
2024,1,fantasypros_api,STD,RB,Patrick Taylor Jr.,patrick taylor,SF,19544,14817.0,patrick-taylor.php,1.8,2.02,2.25,0.45,3.15,0.05,1.46,7.61,0.07,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Kyle Juszczyk,kyle juszczyk,SF,11798,11367.0,kyle-juszczyk.php,1.36,1.79,2.22,0.86,7.54,0.06,0.46,1.7,0.01,,,,,,0.0,0.0,0.0
