"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"Steelers","DST","PIT",7,4.37,0.737,0.0424,3.67,5.52,-1.76,-1.71,-0.971,317,270,204,27,"17",NA,NA,NA,77,NA
"Harold Landry","LB","TEN",13,4.41,0.686,0.116,3.94,4.89,-1.77,-1.14,-2.68,318,224,336,42,"2",29,NA,NA,26,3
"Elliott Fry","K","KC",12,7.18,NA,0.209,NA,NA,-1.8,NA,NA,319,NA,NA,21,"3",56,NA,NA,NA,2
"James Bradberry","DB","NYG",10,3.97,0.615,0.0029,3.54,4.39,-1.8,-1.68,-1.83,320,264,271,58,"6",32,NA,NA,67,5
"Braxton Berrios","WR","NYJ",6,7.18,2,0.0331,4.49,8.84,-1.81,-2.82,-1.62,323,369,250,49,"10",30,NA,NA,64,3
"Giants","DST","NYG",10,4.32,0.401,0.0574,3.84,4.78,-1.81,-1.54,-1.71,321,251,260,28,"18",NA,NA,NA,23,NA
"Carlton Davis","DB","TB",9,3.97,0.834,0.0355,3.4,4.54,-1.81,-1.82,-1.68,322,286,259,59,"6",29,NA,NA,86,3
"Jack Doyle","TE","IND",14,4.76,0.274,0.0733,4.42,5.08,-1.83,-0.937,-3.03,325,205,358,24,"10",36,NA,NA,6,8
"Fletcher Cox","DL","PHI",14,2.2,NA,0.01,NA,NA,-1.83,NA,NA,324,NA,NA,51,"5",35,NA,NA,NA,9
"Zach Sieler","DL","MIA",14,2.2,NA,0,NA,NA,-1.83,NA,NA,324,NA,NA,51,"5",30,NA,NA,NA,3
"T.Y. Hilton","WR","IND",14,7.14,0.671,0.00839,6.34,8.07,-1.84,-0.972,-2.39,328,212,312,50,"10",36,NA,NA,4,9
"Grady Jarrett","DL","ATL",6,2.19,NA,0.04,NA,NA,-1.84,NA,NA,326,NA,NA,52,"5",33,NA,NA,NA,6
"T.J. Green","DB","HOU",10,3.93,NA,0.016,NA,NA,-1.84,NA,NA,327,NA,NA,60,"6",31,NA,NA,NA,5
"Donovan Peoples-Jones","WR","CLE",13,7.14,1.2,0.0976,5.67,8.26,-1.85,-1.64,-2.21,329,260,301,51,"10",56,NA,NA,28,1
"Raiders","DST","LVR",8,4.27,1.61,0.00877,2.46,5.29,-1.86,-2.92,-1.2,331,373,217,29,"18",NA,NA,NA,99,NA
"Panthers","DST","CAR",13,4.26,0.635,0.0247,3.5,4.97,-1.87,-1.89,-1.52,333,295,242,30,"18",NA,NA,NA,61,NA
"Dante Fowler","DL","ATL",6,2.15,NA,0.01,NA,NA,-1.88,NA,NA,335,NA,NA,53,"5",31,NA,NA,NA,NA
"Cory Littleton","LB","LVR",8,4.3,0.12,0.00943,4.21,4.38,-1.88,-0.872,-3.18,336,196,367,43,"2",32,NA,NA,5,5
